tract_id,borough,tract_lat,tract_lon,zone_type,tract_lot_count
1024302,MN,40.8308242,-73.936212,Mixed-Use,7
1024500,MN,40.8360786,-73.9420055,Residential,229
1024700,MN,40.8369642,-73.9457651,Mixed-Use,69
1024900,MN,40.8383801,-73.9371289,Institutional,40
1025100,MN,40.8400006,-73.9382857,Institutional,75
1025300,MN,40.8427554,-73.9379622,Residential,162
1025500,MN,40.845267,-73.9422613,Open Space,70
1025700,MN,40.808574,-73.9543977,Residential,200
1025900,MN,40.8231857,-73.9423907,Mixed-Use,86
1026100,MN,40.8454629,-73.9345319,Residential,159
1026300,MN,40.8469393,-73.9372177,Mixed-Use,102
1026500,MN,40.8497134,-73.9393237,Mixed-Use,84
1026700,MN,40.8502006,-73.9287127,Institutional,18
1026900,MN,40.8508255,-73.9309835,Mixed-Use,218
1027100,MN,40.8517372,-73.9341615,Mixed-Use,122
1027300,MN,40.8535495,-73.9373913,Residential,68
1027500,MN,40.8545213,-73.9395556,Mixed-Use,28
1027700,MN,40.8549348,-73.9284103,Institutional,62
1027900,MN,40.8554168,-73.931464,Residential,125
1028100,MN,40.8564956,-73.9348151,Residential,23
1028300,MN,40.8587012,-73.9295087,Residential,68
1028500,MN,40.8616079,-73.9274799,Residential,90
1028700,MN,40.8645722,-73.9291697,Open Space,56
1029100,MN,40.8643593,-73.9239124,Residential,130
1029300,MN,40.8660263,-73.9201487,Mixed-Use,94
1029500,MN,40.8676792,-73.9247514,Residential,102
1029700,MN,40.8724534,-73.9195428,Open Space,6
1029900,MN,40.8655866,-73.916102,Mixed-Use,98
1030300,MN,40.8691796,-73.9184743,Mixed-Use,61
1030700,MN,40.8714017,-73.9166721,Residential,64
1030900,MN,40.8762622,-73.9106277,Residential,220
1031100,MN,40.8475934,-73.9303845,Open Space,4
1031703,MN,40.7157522,-74.0156991,Mixed-Use,25
1031704,MN,40.708164,-74.0172167,Mixed-Use,24
1031900,MN,40.7016596,-74.0146714,Open Space,3
