tract_id,avg_floors,avg_yearbuilt,lot_area_mean,total_bldg_area,building_count
1022600,3.7,1912,2847.0,2880781.0,384
1022700,3.9,1903,2880.0,3063348.0,362
1022800,3.9,1913,3172.0,3427090.0,436
1022900,4.7,1918,4893.0,3490785.0,196
1023000,4.6,1914,4644.0,3976516.0,313
1023100,3.9,1908,5363.0,3027002.0,287
1023200,5.5,1926,8055.0,3859465.0,170
1023300,4.1,1918,7588.0,3055012.0,243
1023400,5.4,1930,9016.0,2642965.0,104
1023501,4.4,1914,4947.0,3144060.0,186
1023502,5.2,1919,5302.0,868811.0,47
1023600,6.0,1947,30843.0,4148494.0,78
1023700,4.5,1914,14270.0,3081836.0,174
1023802,8.0,1900,490397.0,661538.0,4
1023803,18.3,1973,148884.0,2044750.0,12
1023804,15.3,2010,270945.0,7376095.0,54
1023900,4.8,1909,8662.0,1131425.0,53
1024000,3.0,1965,3683267.0,95823.0,158
1024100,5.1,1915,12721.0,4517723.0,116
1024200,4.8,1953,20294.0,3580524.0,88
1024301,4.0,1906,4993.0,1789020.0,137
1024302,12.5,1968,312120.0,3474856.0,20
1024500,4.8,1917,6044.0,5373562.0,232
1024700,5.2,1918,26779.0,3822836.0,71
1024900,4.4,1929,9419.0,792002.0,31
1025100,5.1,1928,13336.0,6012329.0,85
1025300,4.9,1920,6607.0,3821615.0,164
1025500,7.3,1933,61942.0,7114840.0,67
1025700,4.0,1921,4536.0,3287539.0,191
1025900,5.5,1931,5266.0,2054078.0,94
1026100,4.9,1913,6227.0,3696068.0,163
1026300,5.1,1924,9269.0,3675652.0,104
1026500,5.5,1921,14327.0,3314747.0,78
1026700,6.4,1941,18547.0,1147878.0,19
1026900,4.0,1920,5090.0,3573949.0,210
1027100,4.6,1927,10237.0,3806309.0,126
1027300,5.3,1932,21809.0,3874078.0,82
1027500,6.2,1934,95320.0,1920566.0,29
1027700,5.2,1923,18905.0,3138563.0,82
1027900,4.8,1927,9766.0,4003570.0,135
1028100,5.1,1948,23361.0,1625445.0,25
1028300,5.9,1940,16866.0,3471610.0,74
1028500,4.4,1931,9496.0,2528385.0,88
1028700,4.8,1932,119035.0,2349339.0,66
1029100,4.7,1930,10687.0,4216347.0,135
1029300,4.2,1928,10736.0,2820276.0,103
1029500,4.7,1939,9326.0,3223859.0,116
1029700,4.0,1986,2167946.0,560679.0,19
1029900,3.8,1962,54877.0,4085784.0,121
1030300,4.6,1933,17934.0,2436188.0,62
1030700,4.6,1938,9104.0,1992110.0,74
1030900,3.2,1928,12763.0,3589134.0,243
1031100,1.0,1949,1389975.0,20054.0,10
1031703,27.0,1995,171517.0,14051401.0,27
1031704,19.0,1987,41307.0,7774409.0,27
1031900,2.0,1956,357700.0,1069225.0,10
