tract_id,hotel_count,tourism_poi_count,tourism_density,tourism_ratio
1022900,1,3,3.82,0.1875
1023000,0,0,0.0,0.0
1023100,0,0,0.0,0.0
1023200,0,0,0.0,0.0
1023300,0,0,0.0,0.0
1023400,0,0,0.0,0.0
1023501,2,3,3.82,0.375
1023502,0,0,0.0,0.0
1023600,0,0,0.0,0.0
1023700,0,1,1.27,0.125
1023802,0,2,2.55,0.5
1023803,0,2,2.55,0.3333
1023804,0,16,20.37,1.7778
1023900,0,2,2.55,0.3333
1024000,0,0,0.0,0.0
1024100,0,2,2.55,0.1053
1024200,0,2,2.55,0.0952
1024301,0,3,3.82,0.5
1024302,1,1,1.27,0.1667
1024500,0,0,0.0,0.0
1024700,0,0,0.0,0.0
1024900,0,2,2.55,0.4
1025100,0,2,2.55,0.1333
1025300,0,0,0.0,0.0
1025500,0,2,2.55,0.2857
1025700,0,4,5.09,0.16
1025900,0,0,0.0,0.0
1026100,0,1,1.27,0.0909
1026300,0,1,1.27,0.0233
1026500,0,3,3.82,0.0714
1026700,0,2,2.55,0.1667
1026900,0,0,0.0,0.0
1027100,0,0,0.0,0.0
1027300,0,0,0.0,0.0
1027500,0,0,0.0,0.0
1027700,0,0,0.0,0.0
1027900,0,1,1.27,0.1667
1028100,0,14,17.83,1.75
1028300,0,5,6.37,1.6667
1028500,0,0,0.0,0.0
1028700,0,12,15.28,0.375
1029100,0,0,0.0,0.0
1029300,0,0,0.0,0.0
1029500,0,1,1.27,0.1111
1029700,0,1,1.27,1.0
1029900,0,0,0.0,0.0
1030300,0,0,0.0,0.0
1030700,0,0,0.0,0.0
1030900,0,0,0.0,0.0
1031100,2,4,5.09,0.1333
1031703,1,18,22.92,0.4
1031704,1,14,17.83,0.56
1031900,1,17,21.65,0.7727
