tract_id,borough,tract_lat,tract_lon,zone_type,tract_lot_count,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density,avg_floors,avg_yearbuilt,lot_area_mean,total_bldg_area,building_count,landuse_entropy,landuse_hhi,dist_subway_mean,dist_bus_mean,transit_stop_count,intersection_density,hotel_count,tourism_poi_count,tourism_density,tourism_ratio,pedestrian_rank_mean,pedestrian_rank_max,pct_high_traffic_segments,shop_count,shop_density_km2,shop_type_entropy,brand_ratio
1005502,MN,40.7262146,-73.9935345,Mixed-Use,164,104,52,24,9,2,2,13,0,2,0.5,0.2308,0.0865,0.0192,0.0192,0.125,0.0,0.0192,132.42,5.9,1897,4323.0,4073191.0,166,2.0876,0.2728,380.0,521.5,114,1055.5,2,8,10.19,0.0769,2,2,76.5,46,58.57,3.9232,0.0217
1005600,MN,40.7411869,-73.9876587,Commercial,90,89,37,20,14,1,1,2,1,13,0.4157,0.2247,0.1573,0.0112,0.0112,0.0225,0.0112,0.1461,113.32,13.0,1917,13417.0,11833797.0,93,1.9466,0.3131,500.3,503.7,161,1054.2,1,30,38.2,0.3371,2,1,68.6,36,45.84,4.2919,0.3889
1005700,MN,40.7289167,-73.9926597,Commercial,55,66,23,17,5,2,1,10,5,3,0.3485,0.2576,0.0758,0.0303,0.0152,0.1515,0.0758,0.0455,84.03,9.0,1904,12770.0,6166738.0,68,2.1392,0.2726,542.5,519.5,142,1143.4,1,6,7.64,0.0909,2,1,54.4,27,34.38,3.9121,0.3333
1005800,MN,40.7432605,-73.9903977,Commercial,187,177,86,32,14,13,7,11,4,10,0.4859,0.1808,0.0791,0.0734,0.0395,0.0621,0.0226,0.0565,225.36,8.7,1904,6449.0,11234646.0,196,1.6673,0.4203,531.4,544.1,183,906.5,7,12,15.28,0.0678,1,1,91.9,60,76.39,5.0106,0.3667
1005900,MN,40.731498,-73.9948493,Mixed-Use,87,38,22,7,2,0,0,4,1,2,0.5789,0.1842,0.0526,0.0,0.0,0.1053,0.0263,0.0526,48.38,7.5,1896,9313.0,5206813.0,117,2.0757,0.2682,570.1,543.4,159,1049.1,0,5,6.37,0.1316,3,1,51.4,16,20.37,3.625,0.0625
1006000,MN,40.7341711,-73.9740798,Mixed-Use,4,5,1,0,0,0,0,3,1,0,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,6.37,9.0,1960,387062.0,3297165.0,24,0.9964,0.5025,719.2,612.1,44,781.8,0,1,1.27,0.2,3,2,27.5,0,0.0,0.0,0.0
1006100,MN,40.7336651,-73.9926858,Mixed-Use,159,145,62,34,19,4,0,8,8,10,0.4276,0.2345,0.131,0.0276,0.0,0.0552,0.0552,0.069,184.62,7.4,1914,6046.0,6672838.0,173,2.3305,0.2242,478.7,489.4,133,952.4,0,7,8.91,0.0483,2,1,71.1,63,80.21,4.7285,0.3175
1006200,MN,40.7395014,-73.9740003,Institutional,19,6,1,2,0,0,0,0,1,2,0.1667,0.3333,0.0,0.0,0.0,0.0,0.1667,0.3333,7.64,15.1,1953,122588.0,10239448.0,42,1.4053,0.5569,,548.0,39,786.9,0,1,1.27,0.1667,3,3,0.0,2,2.55,1.0,0.0
1006300,MN,40.73423,-73.9971521,Residential,315,86,37,17,11,0,2,7,6,6,0.4302,0.1977,0.1279,0.0,0.0233,0.0814,0.0698,0.0698,109.5,5.2,1876,4140.0,7029244.0,349,2.5736,0.1881,528.1,531.6,153,1019.9,2,5,6.37,0.0581,3,2,52.0,40,50.93,4.2726,0.175
1006400,MN,40.7367664,-73.9814693,Mixed-Use,156,112,37,23,24,0,0,3,8,17,0.3304,0.2054,0.2143,0.0,0.0,0.0268,0.0714,0.1518,142.6,7.0,1935,7804.0,7302631.0,180,2.2612,0.2457,673.9,519.6,125,828.9,0,1,1.27,0.0089,3,2,41.7,59,75.12,4.2837,0.0508
