tract_id,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density
1024302,6,0,4,0,0,1,0,0,1,0.0,0.6667,0.0,0.0,0.1667,0.0,0.0,0.1667,7.64
1024500,4,3,0,0,0,0,0,1,0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,5.09
1024700,2,0,2,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55
1024900,5,1,1,0,0,0,0,3,0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,6.37
1025100,15,6,1,3,0,0,1,2,2,0.4,0.0667,0.2,0.0,0.0,0.0667,0.1333,0.1333,19.1
1025300,35,13,8,5,0,0,2,0,7,0.3714,0.2286,0.1429,0.0,0.0,0.0571,0.0,0.2,44.56
1025500,7,4,1,0,0,0,1,0,1,0.5714,0.1429,0.0,0.0,0.0,0.1429,0.0,0.1429,8.91
1025700,25,10,6,3,0,0,2,2,2,0.4,0.24,0.12,0.0,0.0,0.08,0.08,0.08,31.83
1025900,28,9,9,6,0,0,1,0,3,0.3214,0.3214,0.2143,0.0,0.0,0.0357,0.0,0.1071,35.65
1026100,11,4,0,0,1,0,2,2,2,0.3636,0.0,0.0,0.0909,0.0,0.1818,0.1818,0.1818,14.01
1026300,43,15,9,7,1,0,4,1,6,0.3488,0.2093,0.1628,0.0233,0.0,0.093,0.0233,0.1395,54.75
1026500,42,22,10,6,0,0,0,0,4,0.5238,0.2381,0.1429,0.0,0.0,0.0,0.0,0.0952,53.48
1026700,12,8,0,1,0,0,0,2,1,0.6667,0.0,0.0833,0.0,0.0,0.0,0.1667,0.0833,15.28
1026900,15,4,6,1,0,0,0,0,4,0.2667,0.4,0.0667,0.0,0.0,0.0,0.0,0.2667,19.1
1027100,32,10,14,2,0,0,0,2,4,0.3125,0.4375,0.0625,0.0,0.0,0.0,0.0625,0.125,40.74
1027300,15,8,3,3,0,0,0,0,1,0.5333,0.2,0.2,0.0,0.0,0.0,0.0,0.0667,19.1
1027500,8,5,1,2,0,0,0,0,0,0.625,0.125,0.25,0.0,0.0,0.0,0.0,0.0,10.19
1027700,12,6,2,0,0,0,0,4,0,0.5,0.1667,0.0,0.0,0.0,0.0,0.3333,0.0,15.28
1027900,6,4,1,0,0,0,0,1,0,0.6667,0.1667,0.0,0.0,0.0,0.0,0.1667,0.0,7.64
1028100,8,2,1,1,0,0,0,4,0,0.25,0.125,0.125,0.0,0.0,0.0,0.5,0.0,10.19
1028300,3,1,1,0,0,0,0,1,0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,3.82
1028500,11,5,1,0,0,0,0,3,2,0.4545,0.0909,0.0,0.0,0.0,0.0,0.2727,0.1818,14.01
