cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0106_c0037,40.692051,-73.8961033,Residential,18,133.33,0.0,1.7,1921.0,39258.0,30,1.059,0.0,0.0,0.0
r0106_c0038,40.692051,-73.8943203,Residential,6,44.44,0.0,3.5,1985.0,53021.0,5,1.9007,44.44,0.0,0.0
r0106_c0044,40.692051,-73.8836229,Open Space,3,400.0,0.0,1.5,1939.0,10120.0,2,-0.0,44.44,0.0,0.0
r0106_c0053,40.692051,-73.8675767,Institutional,31,222.22,0.0,1.6,1955.0,76073.0,31,1.3331,0.0,0.0,0.0
r0106_c0054,40.692051,-73.8657937,Residential,66,266.67,0.5,2.3,1929.0,221676.0,73,1.3874,0.0,133.33,0.3333
r0106_c0055,40.692051,-73.8640108,Residential,74,444.44,0.3,2.1,1924.0,173120.0,101,1.9831,0.0,177.78,0.25
r0106_c0056,40.692051,-73.8622279,Mixed-Use,71,577.78,0.3846,2.3,1922.0,194856.0,80,2.0701,0.0,222.22,0.0
r0106_c0057,40.692051,-73.860445,Residential,63,933.33,0.381,2.1,1931.0,154468.0,78,1.5209,0.0,266.67,0.0
r0106_c0058,40.692051,-73.8586621,Residential,66,1244.44,0.3571,2.1,1913.0,173547.0,69,1.7308,44.44,577.78,0.0769
r0106_c0059,40.692051,-73.8568792,Residential,69,444.44,0.0,2.3,1917.0,276337.0,73,1.8618,0.0,133.33,0.0
r0106_c0060,40.692051,-73.8550963,Residential,79,311.11,0.1429,2.4,1925.0,163304.0,102,1.5806,0.0,44.44,0.0
r0106_c0061,40.692051,-73.8533134,Residential,44,88.89,0.0,2.3,1914.0,318311.0,56,1.7297,0.0,0.0,0.0
r0106_c0062,40.692051,-73.8515304,Residential,42,0.0,0.0,2.4,1915.0,159182.0,63,1.1311,0.0,0.0,0.0
r0106_c0063,40.692051,-73.8497475,Residential,45,400.0,0.0,2.6,1935.0,95534.0,83,0.5296,0.0,0.0,0.0
r0106_c0064,40.692051,-73.8479646,Residential,42,222.22,0.0,2.4,1915.0,130126.0,70,1.4509,0.0,0.0,0.0
r0106_c0065,40.692051,-73.8461817,Residential,40,355.56,0.0,2.5,1923.0,74223.0,75,1.0905,0.0,0.0,0.0
