cell_id,amenity_density,amenity_ratio_food_drink
r0080_c0064,533.33,0.0
r0080_c0065,666.67,0.0
r0080_c0066,755.56,0.0
r0080_c0067,488.89,0.0
r0080_c0068,400.0,0.0
r0080_c0069,311.11,0.0
r0080_c0070,533.33,0.0
r0080_c0071,666.67,0.0
r0080_c0072,488.89,0.0
r0080_c0073,88.89,0.0
r0080_c0074,88.89,0.0
r0080_c0075,44.44,0.0
r0080_c0109,444.44,0.1
r0080_c0110,0.0,0.0
r0080_c0111,0.0,0.0
r0080_c0112,0.0,0.0
r0080_c0115,44.44,0.0
r0080_c0116,0.0,0.0
r0080_c0117,44.44,0.0
r0080_c0118,88.89,0.0
r0080_c0119,44.44,0.0
r0080_c0120,44.44,0.0
r0080_c0121,88.89,0.0
r0080_c0122,177.78,0.25
r0080_c0123,177.78,0.0
r0080_c0124,44.44,0.0
r0080_c0125,133.33,0.0
r0080_c0126,88.89,0.0
r0080_c0127,88.89,0.0
r0080_c0128,88.89,0.0
r0080_c0129,88.89,0.0
r0080_c0130,0.0,0.0
r0080_c0131,44.44,0.0
r0080_c0132,133.33,0.0
r0081_c0057,88.89,0.0
r0081_c0058,0.0,0.0
r0081_c0059,0.0,0.0
r0081_c0061,311.11,0.0
r0081_c0062,666.67,0.0
r0081_c0063,755.56,0.0
r0081_c0064,622.22,0.0
r0081_c0065,577.78,0.0
r0081_c0066,622.22,0.0
r0081_c0067,577.78,0.0
r0081_c0068,800.0,0.0556
r0081_c0069,444.44,0.1
r0081_c0070,444.44,0.0
r0081_c0071,533.33,0.0
r0081_c0072,666.67,0.0
r0081_c0073,44.44,0.0
r0081_c0074,266.67,0.0
r0081_c0108,311.11,0.0
r0081_c0109,0.0,0.0
r0081_c0110,44.44,0.0
r0081_c0113,0.0,0.0
r0081_c0114,533.33,0.0
r0081_c0115,177.78,0.0
r0081_c0116,44.44,0.0
r0081_c0117,133.33,0.3333
r0081_c0118,0.0,0.0
r0081_c0119,44.44,0.0
r0081_c0120,133.33,0.0
r0081_c0122,133.33,0.0
r0081_c0123,311.11,0.0
r0081_c0124,88.89,0.0
r0081_c0125,0.0,0.0
r0081_c0126,133.33,0.0
r0081_c0127,133.33,0.0
r0081_c0128,177.78,0.0
r0081_c0129,44.44,0.0
r0081_c0130,44.44,0.0
r0081_c0131,0.0,0.0
r0081_c0132,222.22,0.0
r0082_c0058,0.0,0.0
r0082_c0059,0.0,0.0
r0082_c0060,0.0,0.0
r0082_c0061,222.22,0.0
r0082_c0062,755.56,0.0
r0082_c0063,666.67,0.0
r0082_c0064,622.22,0.0
r0082_c0065,488.89,0.0
r0082_c0066,622.22,0.0
r0082_c0067,666.67,0.0
r0082_c0068,622.22,0.1429
r0082_c0069,266.67,0.0
r0082_c0070,444.44,0.0
r0082_c0071,222.22,0.0
r0082_c0072,400.0,0.0
r0082_c0073,666.67,0.0
r0082_c0074,222.22,0.2
r0082_c0106,266.67,0.3333
r0082_c0107,133.33,0.0
r0082_c0108,88.89,0.0
r0082_c0109,88.89,0.0
r0082_c0110,44.44,0.0
r0082_c0111,133.33,0.0
r0082_c0113,177.78,0.0
r0082_c0114,44.44,0.0
r0082_c0115,88.89,0.0
r0082_c0116,133.33,0.0
r0082_c0117,44.44,0.0
r0082_c0118,0.0,0.0
r0082_c0119,44.44,0.0
r0082_c0120,0.0,0.0
r0082_c0121,44.44,0.0
r0082_c0123,88.89,0.0
r0082_c0124,88.89,0.0
r0082_c0125,133.33,0.3333
r0082_c0126,44.44,0.0
r0082_c0127,88.89,0.0
r0082_c0128,133.33,0.0
r0082_c0129,0.0,0.0
r0082_c0130,44.44,0.0
r0082_c0131,133.33,0.0
r0082_c0132,311.11,0.0
r0083_c0059,444.44,0.0
r0083_c0062,88.89,0.0
r0083_c0063,533.33,0.0
r0083_c0064,666.67,0.0
r0083_c0065,888.89,0.0
r0083_c0066,844.44,0.0
r0083_c0067,533.33,0.0
r0083_c0068,488.89,0.1818
r0083_c0069,88.89,0.0
r0083_c0070,622.22,0.0
r0083_c0071,622.22,0.0
r0083_c0072,355.56,0.0
r0083_c0073,533.33,0.0
r0083_c0074,133.33,0.0
r0083_c0106,0.0,0.0
r0083_c0107,44.44,0.0
r0083_c0108,44.44,0.0
r0083_c0109,800.0,0.2222
r0083_c0110,0.0,0.0
r0083_c0111,0.0,0.0
r0083_c0112,311.11,0.0
r0083_c0113,44.44,0.0
r0083_c0114,0.0,0.0
r0083_c0115,44.44,0.0
r0083_c0116,222.22,0.0
r0083_c0117,0.0,0.0
r0083_c0118,44.44,0.0
r0083_c0119,88.89,0.0
r0083_c0120,44.44,0.0
r0083_c0121,44.44,0.0
r0083_c0123,266.67,0.0
r0083_c0124,88.89,0.0
r0083_c0125,133.33,0.0
r0083_c0126,44.44,0.0
r0083_c0127,88.89,0.0
r0083_c0128,88.89,0.0
r0083_c0129,133.33,0.0
r0083_c0130,88.89,0.0
r0083_c0131,44.44,0.0
r0083_c0132,1022.22,0.1304
