cell_id,landuse_entropy
r0084_c0115,-0.0
r0084_c0116,0.1744
r0084_c0117,0.322
r0084_c0118,0.8825
r0084_c0119,-0.0
r0084_c0120,-0.0
r0084_c0121,0.055
r0084_c0124,0.17
r0084_c0125,-0.0
r0084_c0126,-0.0
r0084_c0127,-0.0
r0084_c0128,0.3903
r0084_c0129,0.1954
r0084_c0130,-0.0
r0084_c0131,0.3292
r0085_c0059,1.5628
r0085_c0060,0.9893
r0085_c0061,0.2112
r0085_c0065,-0.0
r0085_c0066,0.0636
r0085_c0067,0.401
r0085_c0068,0.3364
r0085_c0069,1.0336
r0085_c0070,0.6035
r0085_c0071,0.0634
r0085_c0072,-0.0
r0085_c0073,1.1137
r0085_c0082,-0.0
r0085_c0083,0.53
r0085_c0084,0.423
r0085_c0101,1.4856
r0085_c0102,-0.0
r0085_c0104,1.6085
r0085_c0105,0.231
r0085_c0106,0.3387
r0085_c0107,-0.0
r0085_c0108,1.7108
r0085_c0109,1.7758
r0085_c0110,0.5374
r0085_c0111,0.161
r0085_c0112,0.8762
r0085_c0113,0.6477
r0085_c0114,0.3534
r0085_c0115,0.2338
r0085_c0116,0.0883
r0085_c0117,0.1334
r0085_c0118,-0.0
r0085_c0119,-0.0
r0085_c0120,0.2845
r0085_c0121,0.4272
r0085_c0122,0.1114
r0085_c0124,0.693
r0085_c0125,-0.0
r0085_c0126,-0.0
r0085_c0127,0.3814
r0085_c0128,1.3395
r0085_c0129,0.5469
r0085_c0130,0.3251
r0085_c0131,0.826
r0086_c0060,0.9053
r0086_c0061,-0.0
r0086_c0062,0.9475
r0086_c0066,-0.0
r0086_c0067,-0.0
r0086_c0069,0.3928
r0086_c0070,0.1215
r0086_c0071,0.8626
r0086_c0072,0.425
r0086_c0073,0.3174
r0086_c0078,0.9728
r0086_c0080,0.3707
r0086_c0081,1.1849
r0086_c0082,1.8454
r0086_c0083,-0.0
r0086_c0084,0.1292
r0086_c0085,1.1094
r0086_c0100,1.5818
r0086_c0101,0.772
r0086_c0102,0.9855
r0086_c0103,1.8122
r0086_c0104,0.9196
r0086_c0105,-0.0
r0086_c0106,0.4287
r0086_c0107,0.007
r0086_c0108,0.3616
r0086_c0109,1.9346
r0086_c0110,0.2064
r0086_c0111,0.2395
r0086_c0112,-0.0
r0086_c0113,0.3906
r0086_c0114,0.6276
r0086_c0115,0.9214
r0086_c0116,1.0324
r0086_c0117,0.5914
r0086_c0118,-0.0
r0086_c0119,0.0119
r0086_c0120,0.7634
r0086_c0121,0.8934
r0086_c0122,0.1273
r0086_c0123,-0.0
r0086_c0125,-0.0
r0086_c0126,1.3317
r0086_c0127,1.4307
r0086_c0128,1.4456
r0086_c0129,1.0201
r0086_c0130,1.2426
r0086_c0131,1.2513
r0087_c0059,-0.0
r0087_c0060,0.8635
r0087_c0061,0.4896
r0087_c0062,0.4773
r0087_c0069,0.1649
r0087_c0072,0.8867
r0087_c0075,0.993
r0087_c0076,1.0814
r0087_c0077,0.3703
r0087_c0078,0.504
r0087_c0079,0.1079
r0087_c0080,-0.0
r0087_c0081,-0.0
r0087_c0082,-0.0
r0087_c0083,0.9062
r0087_c0084,0.9172
r0087_c0085,0.776
r0087_c0086,0.8705
r0087_c0087,1.4746
r0087_c0089,0.1829
r0087_c0091,-0.0
r0087_c0094,0.2934
r0087_c0096,0.7613
r0087_c0100,1.5742
r0087_c0101,1.6408
r0087_c0102,1.853
r0087_c0103,1.3672
r0087_c0104,0.5898
r0087_c0105,0.6036
r0087_c0106,0.8538
r0087_c0107,0.9662
r0087_c0108,0.86
r0087_c0109,1.7102
r0087_c0110,0.0039
r0087_c0111,0.3858
r0087_c0112,0.4335
r0087_c0113,-0.0
r0087_c0114,1.7569
r0087_c0115,0.9675
r0087_c0116,0.5553
r0087_c0117,1.1889
r0087_c0118,0.5894
r0087_c0121,0.3507
r0087_c0122,0.2694
r0087_c0123,-0.0
r0087_c0124,0.7086
r0087_c0125,-0.0
r0087_c0126,1.2756
r0087_c0127,1.1923
r0087_c0128,1.3735
r0087_c0129,1.627
r0087_c0130,1.2148
r0087_c0131,1.8837
r0088_c0059,1.2374
r0088_c0060,0.5762
r0088_c0061,0.1479
r0088_c0062,1.4232
r0088_c0063,0.5684
r0088_c0069,1.3439
r0088_c0070,1.0259
r0088_c0071,1.4995
r0088_c0072,1.5379
r0088_c0076,0.1463
r0088_c0077,0.3127
r0088_c0078,-0.0
r0088_c0079,0.2714
r0088_c0080,-0.0
r0088_c0081,-0.0
r0088_c0082,0.07
r0088_c0083,0.5765
r0088_c0084,0.2952
r0088_c0085,1.5909
r0088_c0086,1.8804
r0088_c0087,1.1942
r0088_c0088,0.3621
r0088_c0089,0.6933
r0088_c0090,-0.0
r0088_c0091,1.0143
r0088_c0092,1.5505
r0088_c0093,1.3261
r0088_c0094,1.3475
r0088_c0095,0.3408
r0088_c0096,0.418
r0088_c0097,1.0364
r0088_c0099,1.4605
r0088_c0100,1.2409
r0088_c0101,0.6634
r0088_c0102,0.4489
