cell_id,shop_density_km2,brand_ratio
r0035_c0097,0.0,0.0
r0035_c0102,0.0,0.0
r0035_c0103,0.0,0.0
r0035_c0104,0.0,0.0
r0035_c0105,0.0,0.0
r0035_c0106,0.0,0.0
r0035_c0107,0.0,0.0
r0035_c0108,0.0,0.0
r0035_c0109,0.0,0.0
r0035_c0110,0.0,0.0
r0035_c0111,0.0,0.0
r0035_c0112,0.0,0.0
r0035_c0113,0.0,0.0
r0035_c0114,0.0,0.0
r0035_c0115,0.0,0.0
r0035_c0117,222.22,0.2
r0035_c0119,0.0,0.0
r0035_c0120,0.0,0.0
r0035_c0121,0.0,0.0
r0035_c0122,0.0,0.0
r0035_c0123,0.0,0.0
r0035_c0124,0.0,0.0
r0035_c0125,0.0,0.0
r0036_c0080,0.0,0.0
r0036_c0088,0.0,0.0
r0036_c0089,0.0,0.0
r0036_c0090,0.0,0.0
r0036_c0091,0.0,0.0
r0036_c0092,0.0,0.0
r0036_c0093,0.0,0.0
r0036_c0094,0.0,0.0
r0036_c0095,0.0,0.0
r0036_c0096,0.0,0.0
r0036_c0102,0.0,0.0
r0036_c0103,0.0,0.0
r0036_c0104,0.0,0.0
r0036_c0105,0.0,0.0
r0036_c0107,0.0,0.0
r0036_c0108,0.0,0.0
r0036_c0109,0.0,0.0
r0036_c0110,133.33,0.3333
r0036_c0111,0.0,0.0
r0036_c0112,0.0,0.0
r0036_c0113,0.0,0.0
r0036_c0114,0.0,0.0
r0036_c0115,0.0,0.0
r0036_c0117,44.44,1.0
r0036_c0118,0.0,0.0
r0036_c0119,0.0,0.0
r0036_c0120,88.89,0.0
r0036_c0121,0.0,0.0
r0036_c0122,0.0,0.0
r0036_c0123,0.0,0.0
r0036_c0124,0.0,0.0
r0036_c0125,0.0,0.0
r0037_c0078,0.0,0.0
r0037_c0079,0.0,0.0
r0037_c0080,0.0,0.0
r0037_c0089,0.0,0.0
r0037_c0090,0.0,0.0
r0037_c0091,0.0,0.0
r0037_c0092,0.0,0.0
r0037_c0093,0.0,0.0
r0037_c0094,0.0,0.0
r0037_c0095,0.0,0.0
r0037_c0096,0.0,0.0
r0037_c0104,0.0,0.0
r0037_c0105,0.0,0.0
r0037_c0110,44.44,0.0
r0037_c0111,0.0,0.0
r0037_c0112,0.0,0.0
r0037_c0113,0.0,0.0
r0037_c0114,0.0,0.0
r0037_c0115,0.0,0.0
r0037_c0116,0.0,0.0
r0037_c0117,0.0,0.0
r0037_c0118,0.0,0.0
r0037_c0119,0.0,0.0
r0037_c0120,0.0,0.0
r0037_c0121,0.0,0.0
r0037_c0122,0.0,0.0
r0037_c0123,0.0,0.0
r0037_c0124,0.0,0.0
r0037_c0125,0.0,0.0
r0038_c0077,0.0,0.0
r0038_c0078,0.0,0.0
r0038_c0079,0.0,0.0
r0038_c0080,0.0,0.0
r0038_c0104,0.0,0.0
r0038_c0105,0.0,0.0
r0038_c0109,0.0,0.0
r0038_c0110,0.0,0.0
r0038_c0111,0.0,0.0
r0038_c0112,0.0,0.0
r0038_c0113,0.0,0.0
r0038_c0114,0.0,0.0
r0038_c0115,0.0,0.0
r0038_c0116,0.0,0.0
r0038_c0117,0.0,0.0
r0038_c0118,0.0,0.0
r0038_c0119,0.0,0.0
r0038_c0120,0.0,0.0
r0038_c0121,0.0,0.0
r0038_c0122,0.0,0.0
r0038_c0123,0.0,0.0
r0038_c0124,0.0,0.0
r0038_c0125,0.0,0.0
r0039_c0078,0.0,0.0
r0039_c0079,0.0,0.0
r0039_c0080,0.0,0.0
r0039_c0105,0.0,0.0
r0039_c0109,0.0,0.0
r0039_c0110,0.0,0.0
r0039_c0111,0.0,0.0
r0039_c0112,0.0,0.0
r0039_c0113,0.0,0.0
r0039_c0114,0.0,0.0
r0039_c0115,0.0,0.0
r0039_c0116,0.0,0.0
r0039_c0117,44.44,1.0
r0039_c0118,0.0,0.0
r0039_c0119,0.0,0.0
r0039_c0120,0.0,0.0
r0039_c0121,0.0,0.0
r0039_c0122,0.0,0.0
r0039_c0123,0.0,0.0
r0039_c0124,0.0,0.0
r0039_c0125,0.0,0.0
r0040_c0078,0.0,0.0
r0040_c0079,0.0,0.0
r0040_c0080,0.0,0.0
r0040_c0081,0.0,0.0
r0040_c0108,0.0,0.0
r0040_c0109,0.0,0.0
r0040_c0110,0.0,0.0
r0040_c0111,0.0,0.0
r0040_c0112,0.0,0.0
r0040_c0113,0.0,0.0
r0040_c0114,0.0,0.0
r0040_c0115,0.0,0.0
r0040_c0116,0.0,0.0
r0040_c0117,0.0,0.0
r0040_c0118,0.0,0.0
r0040_c0119,44.44,0.0
r0040_c0120,0.0,0.0
r0040_c0121,0.0,0.0
r0040_c0122,0.0,0.0
r0040_c0123,0.0,0.0
r0040_c0124,0.0,0.0
r0040_c0125,0.0,0.0
r0041_c0078,0.0,0.0
r0041_c0079,0.0,0.0
r0041_c0080,0.0,0.0
r0041_c0081,0.0,0.0
r0041_c0108,0.0,0.0
r0041_c0109,0.0,0.0
r0041_c0110,0.0,0.0
r0041_c0111,0.0,0.0
r0041_c0112,0.0,0.0
r0041_c0113,0.0,0.0
r0041_c0114,0.0,0.0
r0041_c0115,0.0,0.0
r0041_c0116,0.0,0.0
r0041_c0117,88.89,0.0
r0041_c0118,0.0,0.0
r0041_c0119,0.0,0.0
r0041_c0120,0.0,0.0
r0041_c0121,0.0,0.0
r0041_c0122,0.0,0.0
r0041_c0123,0.0,0.0
r0041_c0124,0.0,0.0
r0041_c0125,0.0,0.0
r0042_c0078,0.0,0.0
r0042_c0079,0.0,0.0
r0042_c0080,0.0,0.0
r0042_c0081,0.0,0.0
r0042_c0082,0.0,0.0
r0042_c0108,0.0,0.0
r0042_c0109,0.0,0.0
r0042_c0110,0.0,0.0
r0042_c0111,0.0,0.0
r0042_c0112,0.0,0.0
r0042_c0113,0.0,0.0
r0042_c0114,0.0,0.0
r0042_c0115,0.0,0.0
r0042_c0116,355.56,0.0
r0042_c0117,0.0,0.0
r0042_c0118,0.0,0.0
r0042_c0119,44.44,0.0
r0042_c0120,0.0,0.0
r0042_c0121,0.0,0.0
r0042_c0122,0.0,0.0
r0042_c0123,0.0,0.0
r0042_c0124,0.0,0.0
r0043_c0079,0.0,0.0
r0043_c0080,0.0,0.0
r0043_c0081,0.0,0.0
