cell_id,cell_lat,cell_lon,zone_type,cell_building_count,amenity_density,amenity_ratio_food_drink,avg_height,avg_floors,avg_construction_year,building_count,residential_ratio,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0015_c0608,48.1401725,2.6978101,residential,5,222.22,0.0,4.9,1.2,1910.0,6,0.667,1.2516,88.89,0.0,0.0
r0015_c0609,48.1401725,2.6998621,industrial,7,0.0,0.0,3.3,1.0,,9,0.111,1.2244,0.0,0.0,0.0
r0015_c0610,48.1401725,2.701914,residential,5,0.0,0.0,3.9,1.1,1960.0,6,0.5,1.4591,0.0,0.0,0.0
r0015_c0660,48.1401725,2.804511,residential,6,177.78,0.0,3.8,1.3,1801.0,10,0.4,1.5219,88.89,0.0,0.0
r0015_c0680,48.1401725,2.8455497,residential,3,0.0,0.0,4.2,1.3,1787.0,8,0.375,1.4056,0.0,0.0,0.0
r0016_c0496,48.1415238,2.467993,industrial,7,0.0,0.0,3.3,1.0,,7,0.0,-0.0,0.0,0.0,0.0
r0016_c0497,48.1415238,2.4700449,industrial,4,0.0,0.0,8.9,1.2,1941.0,15,0.067,1.5589,0.0,0.0,0.0
r0016_c0498,48.1415238,2.4720969,residential,20,44.44,0.0,5.0,1.3,1967.0,24,0.75,1.1761,0.0,0.0,0.0
r0016_c0499,48.1415238,2.4741488,residential,14,0.0,0.0,4.4,1.5,1980.0,21,0.619,1.6957,0.0,0.0,0.0
r0016_c0500,48.1415238,2.4762007,residential,14,44.44,0.0,4.0,1.3,1975.0,23,0.565,1.1916,0.0,0.0,0.0
r0016_c0506,48.1415238,2.4885124,residential,14,0.0,0.0,3.5,1.1,1912.0,23,0.478,1.9295,0.0,0.0,0.0
r0016_c0507,48.1415238,2.4905643,residential,11,0.0,0.0,3.0,1.1,1873.0,19,0.474,1.7196,0.0,0.0,0.0
r0016_c0563,48.1415238,2.6054729,residential,11,0.0,0.0,3.4,1.1,1906.0,19,0.474,1.7798,0.0,0.0,0.0
r0016_c0564,48.1415238,2.6075248,residential,21,0.0,0.0,3.3,1.1,1920.0,37,0.486,1.7501,0.0,0.0,0.0
