cell_id,cell_lat,cell_lon,zone_type,cell_building_count
r0041_c0696,48.1753076,2.8783808,residential,14
r0042_c0623,48.176659,2.7285892,residential,3
r0042_c0625,48.176659,2.7326931,commercial,9
r0042_c0626,48.176659,2.734745,commercial,16
r0042_c0628,48.176659,2.7388489,industrial,4
r0042_c0629,48.176659,2.7409009,residential,14
r0042_c0630,48.176659,2.7429528,residential,7
r0042_c0631,48.176659,2.7450047,residential,4
r0042_c0632,48.176659,2.7470567,residential,18
r0042_c0633,48.176659,2.7491086,residential,32
r0042_c0634,48.176659,2.7511606,residential,26
r0042_c0673,48.176659,2.8311862,residential,6
r0042_c0689,48.176659,2.8640172,industrial,9
r0042_c0690,48.176659,2.8660691,residential,15
r0042_c0691,48.176659,2.8681211,residential,26
r0042_c0692,48.176659,2.870173,residential,45
r0042_c0693,48.176659,2.8722249,residential,63
r0042_c0694,48.176659,2.8742769,residential,18
r0042_c0695,48.176659,2.8763288,residential,12
r0042_c0696,48.176659,2.8783808,residential,13
r0042_c0697,48.176659,2.8804327,residential,5
r0043_c0622,48.1780103,2.7265373,residential,8
r0043_c0623,48.1780103,2.7285892,residential,11
r0043_c0624,48.1780103,2.7306412,residential,6
r0043_c0625,48.1780103,2.7326931,industrial,3
r0043_c0626,48.1780103,2.734745,industrial,9
r0043_c0627,48.1780103,2.736797,commercial,6
r0043_c0628,48.1780103,2.7388489,industrial,13
r0043_c0629,48.1780103,2.7409009,residential,7
r0043_c0633,48.1780103,2.7491086,residential,29
r0043_c0634,48.1780103,2.7511606,residential,22
r0043_c0635,48.1780103,2.7532125,residential,7
r0043_c0637,48.1780103,2.7573164,industrial,6
r0043_c0643,48.1780103,2.769628,residential,7
r0043_c0672,48.1780103,2.8291342,residential,5
r0043_c0673,48.1780103,2.8311862,residential,8
r0043_c0674,48.1780103,2.8332381,industrial,13
r0043_c0675,48.1780103,2.83529,residential,7
r0043_c0676,48.1780103,2.837342,industrial,4
r0043_c0689,48.1780103,2.8640172,residential,15
r0043_c0690,48.1780103,2.8660691,residential,8
r0043_c0691,48.1780103,2.8681211,residential,17
r0043_c0692,48.1780103,2.870173,residential,32
r0043_c0693,48.1780103,2.8722249,residential,32
r0043_c0694,48.1780103,2.8742769,residential,17
r0043_c0695,48.1780103,2.8763288,residential,8
r0043_c0696,48.1780103,2.8783808,residential,7
r0043_c0697,48.1780103,2.8804327,residential,6
r0044_c0620,48.1793617,2.7224334,industrial,6
r0044_c0621,48.1793617,2.7244853,industrial,5
r0044_c0624,48.1793617,2.7306412,commercial,4
r0044_c0625,48.1793617,2.7326931,residential,17
r0044_c0627,48.1793617,2.736797,industrial,11
r0044_c0628,48.1793617,2.7388489,residential,5
r0044_c0629,48.1793617,2.7409009,residential,15
r0044_c0630,48.1793617,2.7429528,commercial,4
r0044_c0632,48.1793617,2.7470567,residential,3
r0044_c0633,48.1793617,2.7491086,residential,25
r0044_c0634,48.1793617,2.7511606,residential,5
r0044_c0636,48.1793617,2.7552644,industrial,9
r0044_c0637,48.1793617,2.7573164,industrial,14
r0044_c0639,48.1793617,2.7614202,industrial,5
r0044_c0643,48.1793617,2.769628,residential,3
r0044_c0646,48.1793617,2.7757838,residential,7
r0044_c0657,48.1793617,2.7983551,residential,14
r0044_c0658,48.1793617,2.8004071,residential,7
r0044_c0672,48.1793617,2.8291342,residential,15
r0044_c0673,48.1793617,2.8311862,residential,6
r0044_c0676,48.1793617,2.837342,residential,9
r0044_c0690,48.1793617,2.8660691,residential,10
r0044_c0691,48.1793617,2.8681211,residential,18
r0044_c0692,48.1793617,2.870173,residential,16
r0044_c0693,48.1793617,2.8722249,residential,16
r0044_c0694,48.1793617,2.8742769,commercial,6
r0045_c0618,48.180713,2.7183295,industrial,6
r0045_c0619,48.180713,2.7203815,industrial,10
r0045_c0620,48.180713,2.7224334,industrial,18
r0045_c0621,48.180713,2.7244853,commercial,6
r0045_c0624,48.180713,2.7306412,commercial,19
r0045_c0625,48.180713,2.7326931,residential,20
r0045_c0626,48.180713,2.734745,residential,20
r0045_c0627,48.180713,2.736797,residential,4
r0045_c0628,48.180713,2.7388489,residential,19
r0045_c0629,48.180713,2.7409009,residential,16
r0045_c0630,48.180713,2.7429528,residential,12
r0045_c0631,48.180713,2.7450047,residential,23
r0045_c0632,48.180713,2.7470567,residential,19
r0045_c0633,48.180713,2.7491086,residential,11
r0045_c0634,48.180713,2.7511606,residential,10
r0045_c0635,48.180713,2.7532125,residential,7
r0045_c0636,48.180713,2.7552644,industrial,6
r0045_c0637,48.180713,2.7573164,industrial,5
r0045_c0643,48.180713,2.769628,residential,12
r0045_c0644,48.180713,2.7716799,residential,5
r0045_c0645,48.180713,2.7737319,residential,7
r0045_c0657,48.180713,2.7983551,residential,12
r0045_c0672,48.180713,2.8291342,residential,6
r0045_c0673,48.180713,2.8311862,residential,3
r0045_c0687,48.180713,2.8599133,residential,4
r0045_c0688,48.180713,2.8619653,residential,3
r0045_c0689,48.180713,2.8640172,residential,24
r0045_c0694,48.180713,2.8742769,commercial,17
r0046_c0611,48.1820644,2.703966,residential,12
r0046_c0618,48.1820644,2.7183295,industrial,12
r0046_c0619,48.1820644,2.7203815,industrial,19
r0046_c0620,48.1820644,2.7224334,industrial,7
r0046_c0624,48.1820644,2.7306412,commercial,34
r0046_c0625,48.1820644,2.7326931,residential,73
r0046_c0626,48.1820644,2.734745,commercial,44
r0046_c0627,48.1820644,2.736797,residential,50
r0046_c0628,48.1820644,2.7388489,residential,7
r0046_c0644,48.1820644,2.7716799,residential,6
