city,cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
NYC,r0019_c0026,40.7126026,-73.9994021,Residential,13,2044.44,0.0652,7.6,1917,556051.0,7.0,0.3854,88.89,0.0,0.0,44.44,133.33,0.0
NYC,r0019_c0027,40.7126026,-73.9976177,Mixed-Use,43,4311.11,0.0825,4.3,1903,361918.0,46.0,2.205,266.67,0.0,0.0,222.22,177.78,44.44
NYC,r0019_c0028,40.7126026,-73.9958333,Mixed-Use,59,666.67,0.1333,5.4,1916,520553.0,54.0,1.7058,400.0,0.0,0.0,0.0,44.44,0.0
NYC,r0019_c0029,40.7126026,-73.9940489,Mixed-Use,30,1511.11,0.1765,5.4,1919,554503.0,48.0,1.4902,355.56,0.0,0.0,133.33,222.22,44.44
NYC,r0019_c0030,40.7126026,-73.9922645,Institutional,7,3377.78,0.0,5.3,1954,172098.0,6.0,1.1953,0.0,44.44,0.0,177.78,133.33,0.0
NYC,r0019_c0031,40.7126026,-73.9904801,Mixed-Use,25,1600.0,0.1389,4.8,1927,204741.0,16.0,1.1268,311.11,0.0,0.0,88.89,88.89,0.0
NYC,r0019_c0032,40.7126026,-73.9886957,Mixed-Use,21,844.44,0.2105,5.3,1922,810930.0,34.0,0.6444,177.78,0.0,0.0,88.89,0.0,0.0
NYC,r0019_c0034,40.7126026,-73.9851269,Residential,5,355.56,0.0,16.0,1955,431685.0,4.0,0.3148,0.0,0.0,5.08,177.78,88.89,0.0
NYC,r0020_c0019,40.713954,-74.0118928,Commercial,3,6488.89,0.0205,30.2,1963,3973195.0,4.0,0.7729,222.22,133.33,4.64,444.44,222.22,44.44
NYC,r0020_c0020,40.713954,-74.0101084,Commercial,16,2088.89,0.0638,13.6,1970,2101888.0,15.0,1.4857,222.22,0.0,13.86,222.22,88.89,88.89
NYC,r0020_c0021,40.713954,-74.008324,Mixed-Use,32,1466.67,0.3939,7.4,1902,1285669.0,29.0,1.5109,266.67,0.0,0.0,533.33,88.89,88.89
NYC,r0020_c0022,40.713954,-74.0065396,Commercial,14,3288.89,0.0811,8.9,1913,1365095.0,27.0,1.6291,355.56,133.33,10.63,577.78,133.33,0.0
NYC,r0020_c0023,40.713954,-74.0047552,Commercial,6,3911.11,0.0,9.7,1890,521354.0,3.0,1.2857,88.89,266.67,2.04,400.0,222.22,0.0
NYC,r0020_c0024,40.713954,-74.0029708,Institutional,3,2533.33,0.0351,10.4,1918,757741.0,4.0,0.8016,177.78,0.0,8.01,311.11,177.78,44.44
NYC,r0020_c0025,40.713954,-74.0011864,Institutional,3,2044.44,0.0,17.2,1946,1685590.0,6.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
NYC,r0020_c0026,40.713954,-73.9994021,Residential,26,5022.22,0.115,7.3,1919,976758.0,28.0,1.5642,222.22,0.0,0.0,133.33,222.22,0.0
NYC,r0020_c0027,40.713954,-73.9976177,Mixed-Use,44,4444.44,0.14,4.9,1923,439637.0,43.0,1.3028,355.56,44.44,0.0,222.22,311.11,88.89
NYC,r0020_c0028,40.713954,-73.9958333,Mixed-Use,51,2488.89,0.125,5.1,1908,458758.0,49.0,1.5165,266.67,44.44,0.0,0.0,44.44,0.0
NYC,r0020_c0029,40.713954,-73.9940489,Commercial,38,2622.22,0.322,4.6,1928,354120.0,34.0,1.4737,755.56,0.0,0.0,88.89,222.22,0.0
NYC,r0020_c0030,40.713954,-73.9922645,Mixed-Use,42,1422.22,0.3438,5.4,1924,516296.0,40.0,2.1823,444.44,133.33,0.0,177.78,266.67,88.89
NYC,r0020_c0031,40.713954,-73.9904801,Mixed-Use,39,2400.0,0.2963,5.0,1921,458275.0,52.0,1.8306,355.56,44.44,0.0,311.11,133.33,44.44
NYC,r0020_c0032,40.713954,-73.9886957,Mixed-Use,20,2977.78,0.0597,5.8,1920,380292.0,19.0,1.6236,88.89,88.89,0.0,0.0,88.89,0.0
NYC,r0020_c0033,40.713954,-73.9869113,Institutional,35,1111.11,0.32,5.3,1928,313106.0,29.0,1.9509,311.11,0.0,0.0,44.44,133.33,0.0
NYC,r0020_c0034,40.713954,-73.9851269,Residential,22,844.44,0.0526,4.4,1907,351739.0,24.0,1.4182,0.0,0.0,12.76,0.0,177.78,0.0
NYC,r0020_c0035,40.713954,-73.9833425,Mixed-Use,8,622.22,0.0,4.9,1912,297159.0,16.0,2.0214,0.0,0.0,0.0,44.44,44.44,0.0
NYC,r0020_c0036,40.713954,-73.9815581,Residential,16,1244.44,0.2143,3.5,1912,275146.0,23.0,1.7637,311.11,0.0,0.0,444.44,222.22,0.0
NYC,r0021_c0020,40.7153053,-74.0101084,Mixed-Use,38,3777.78,0.1765,6.4,1919,727726.0,34.0,1.6395,622.22,0.0,0.0,444.44,177.78,44.44
NYC,r0021_c0021,40.7153053,-74.008324,Mixed-Use,40,3022.22,0.25,6.3,1887,767694.0,37.0,1.4343,800.0,44.44,3.88,533.33,88.89,44.44
