cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
cell_00014095,29.51732384098371,-95.15988569126984,Residential,14,0.0,0.0,1.0,2006.0,53879,14,-0.0,0.0,0.0,0.0
cell_00014096,29.51732384098371,-95.15833062545737,Residential,15,0.0,0.0,1.0,2005.0,71210,15,-0.0,0.0,0.0,0.0
cell_00014097,29.51732384098371,-95.1567755596449,Residential,5,0.0,0.0,1.0,2002.0,25551,5,-0.0,0.0,0.0,0.0
cell_00014773,29.51867282339259,-95.16144075708227,Residential,11,0.0,0.0,1.0,2005.0,38205,11,-0.0,0.0,0.0,0.0
cell_00014774,29.51867282339259,-95.15988569126984,Residential,11,0.0,0.0,1.0,2002.0,36160,11,0.3641,0.0,0.0,0.0
cell_00014775,29.51867282339259,-95.15833062545737,Residential,13,0.0,0.0,1.0,2007.0,48801,13,-0.0,0.0,0.0,0.0
cell_00014776,29.51867282339259,-95.1567755596449,Residential,4,0.0,0.0,1.0,1999.0,12893,5,-0.0,0.0,0.0,0.0
cell_00015439,29.520021805801463,-95.1816566126444,Residential,12,44.44,0.0,1.0,1995.0,27129,12,-0.0,0.0,0.0,0.0
cell_00015440,29.520021805801463,-95.1801015468319,Residential,9,88.89,0.0,1.0,2001.0,21697,9,-0.0,0.0,0.0,0.0
cell_00015441,29.520021805801463,-95.17854648101944,Residential,3,0.0,0.0,1.0,2008.0,6883,4,0.2482,0.0,0.0,0.0
cell_00015452,29.520021805801463,-95.16144075708227,Institutional,5,0.0,0.0,1.0,2012.0,418892,7,0.8713,0.0,0.0,0.0
cell_00015453,29.520021805801463,-95.15988569126984,Residential,5,44.44,0.0,1.0,1999.0,114486,6,0.5382,0.0,44.44,1.0
cell_00015454,29.520021805801463,-95.15833062545737,Residential,17,0.0,0.0,1.0,2001.0,63704,17,-0.0,0.0,0.0,0.0
cell_00015455,29.520021805801463,-95.1567755596449,Residential,12,0.0,0.0,1.0,2006.0,43780,12,-0.0,0.0,0.0,0.0
cell_00015456,29.520021805801463,-95.15522049383242,Residential,4,0.0,0.0,1.0,2004.0,14864,4,-0.0,0.0,0.0,0.0
cell_00016117,29.521370788210344,-95.18321167845684,Residential,6,44.44,0.0,1.0,2003.0,18281,8,-0.0,0.0,0.0,0.0
cell_00016118,29.521370788210344,-95.1816566126444,Residential,21,0.0,0.0,1.0,1989.0,46105,21,-0.0,0.0,0.0,0.0
cell_00016119,29.521370788210344,-95.1801015468319,Residential,20,0.0,0.0,1.0,1988.0,43275,20,-0.0,0.0,0.0,0.0
cell_00016120,29.521370788210344,-95.17854648101944,Residential,18,0.0,0.0,1.0,1989.0,39780,18,-0.0,0.0,0.0,0.0
cell_00016121,29.521370788210344,-95.17699141520696,Residential,4,44.44,0.0,1.0,1990.0,7948,4,-0.0,0.0,0.0,0.0
cell_00016123,29.521370788210344,-95.17388128358203,Institutional,6,44.44,0.0,1.0,,54316,9,0.759,0.0,0.0,0.0
cell_00016124,29.521370788210344,-95.17232621776958,Institutional,7,44.44,0.0,1.0,1972.0,30771,8,0.8615,0.0,0.0,0.0
cell_00016130,29.521370788210344,-95.16299582289476,Institutional,3,133.33,0.0,1.0,,42216,7,-0.0,0.0,44.44,0.0
cell_00016133,29.521370788210344,-95.15833062545737,Institutional,8,0.0,0.0,1.0,2003.0,24253,8,0.9469,0.0,0.0,0.0
cell_00016134,29.521370788210344,-95.1567755596449,Residential,16,0.0,0.0,1.0,2003.0,58024,16,-0.0,0.0,0.0,0.0
cell_00016135,29.521370788210344,-95.15522049383242,Residential,17,0.0,0.0,1.0,2003.0,61547,17,-0.0,0.0,0.0,0.0
cell_00016797,29.522719770619226,-95.1816566126444,Residential,23,0.0,0.0,1.0,1995.0,54186,25,-0.0,0.0,0.0,0.0
cell_00016798,29.522719770619226,-95.1801015468319,Residential,21,0.0,0.0,1.0,1993.0,47396,21,-0.0,0.0,0.0,0.0
cell_00016799,29.522719770619226,-95.17854648101944,Residential,23,0.0,0.0,1.0,1991.0,51668,23,-0.0,0.0,0.0,0.0
cell_00016800,29.522719770619226,-95.17699141520696,Residential,18,0.0,0.0,1.0,1988.0,39415,18,-0.0,0.0,0.0,0.0
cell_00016801,29.522719770619226,-95.17543634939452,Residential,13,177.78,0.0,1.0,2001.0,24969,13,0.645,0.0,0.0,0.0
cell_00016802,29.522719770619226,-95.17388128358203,Residential,35,0.0,0.0,1.0,1975.0,51646,35,0.7307,0.0,0.0,0.0
cell_00016803,29.522719770619226,-95.17232621776958,Residential,55,0.0,0.0,1.0,1976.0,72158,55,-0.0,0.0,0.0,0.0
cell_00016804,29.522719770619226,-95.1707711519571,Institutional,10,0.0,0.0,1.0,1983.0,55656,11,1.359,0.0,0.0,0.0
cell_00016806,29.522719770619226,-95.16766102033216,Institutional,4,355.56,0.0,1.0,,346410,9,0.5246,0.0,0.0,0.0
cell_00016812,29.522719770619226,-95.15833062545737,Institutional,5,44.44,0.0,1.0,2000.0,23388,6,0.7788,0.0,0.0,0.0
cell_00016813,29.522719770619226,-95.1567755596449,Institutional,8,0.0,0.0,1.0,2001.0,32215,8,1.0,0.0,0.0,0.0
cell_00016814,29.522719770619226,-95.15522049383242,Residential,9,0.0,0.0,1.0,2007.0,31476,9,-0.0,0.0,0.0,0.0
cell_00016829,29.522719770619226,-95.1318945066454,Residential,180,44.44,0.0,1.0,,248464,182,0.8562,0.0,0.0,0.0
cell_00016851,29.522719770619226,-95.09768305877112,Residential,5,0.0,0.0,1.0,2024.0,18865,5,-0.0,0.0,0.0,0.0
cell_00016852,29.522719770619226,-95.09612799295864,Residential,3,0.0,0.0,1.0,,11749,3,-0.0,0.0,0.0,0.0
cell_00017474,29.5240687530281,-95.18476674426933,Residential,5,0.0,0.0,1.0,1998.0,12065,5,-0.0,0.0,0.0,0.0
cell_00017475,29.5240687530281,-95.18321167845684,Residential,22,0.0,0.0,1.0,1995.0,51072,22,-0.0,0.0,0.0,0.0
cell_00017476,29.5240687530281,-95.1816566126444,Residential,23,0.0,0.0,1.0,2005.0,52943,23,-0.0,0.0,0.0,0.0
cell_00017477,29.5240687530281,-95.1801015468319,Residential,23,0.0,0.0,1.0,1995.0,54383,23,-0.0,0.0,0.0,0.0
cell_00017478,29.5240687530281,-95.17854648101944,Residential,22,0.0,0.0,1.0,1985.0,47627,22,-0.0,0.0,0.0,0.0
cell_00017479,29.5240687530281,-95.17699141520696,Residential,23,0.0,0.0,1.0,1992.0,51144,23,-0.0,0.0,0.0,0.0
cell_00017480,29.5240687530281,-95.17543634939452,Residential,27,0.0,0.0,1.0,1999.0,47505,27,-0.0,0.0,0.0,0.0
cell_00017481,29.5240687530281,-95.17388128358203,Residential,32,0.0,0.0,1.0,1989.0,49558,32,-0.0,0.0,0.0,0.0
cell_00017482,29.5240687530281,-95.17232621776958,Residential,44,0.0,0.0,1.0,1979.0,61649,44,-0.0,0.0,0.0,0.0
cell_00017483,29.5240687530281,-95.1707711519571,Residential,29,0.0,0.0,1.0,,50622,29,-0.0,0.0,0.0,0.0
cell_00017484,29.5240687530281,-95.16921608614464,Institutional,5,0.0,0.0,1.0,2005.0,129381,5,0.4925,0.0,0.0,0.0
cell_00017485,29.5240687530281,-95.16766102033216,Residential,3,0.0,0.0,1.0,2020.0,6230,3,-0.0,0.0,0.0,0.0
cell_00017486,29.5240687530281,-95.16610595451972,Residential,15,0.0,0.0,1.0,2010.0,32709,15,-0.0,0.0,0.0,0.0
cell_00017487,29.5240687530281,-95.16455088870724,Residential,21,0.0,0.0,1.0,2002.0,46602,21,-0.0,0.0,0.0,0.0
cell_00017488,29.5240687530281,-95.16299582289476,Residential,7,44.44,0.0,1.0,2017.0,168728,8,0.7409,0.0,44.44,0.0
cell_00017489,29.5240687530281,-95.16144075708227,Residential,3,44.44,1.0,1.0,2001.0,15804,4,0.9933,0.0,0.0,0.0
cell_00017490,29.5240687530281,-95.15988569126984,Residential,9,44.44,0.0,1.0,2007.0,20079,9,-0.0,0.0,44.44,1.0
cell_00017491,29.5240687530281,-95.15833062545737,Institutional,8,0.0,0.0,1.0,2007.0,86521,8,0.919,0.0,0.0,0.0
cell_00017492,29.5240687530281,-95.1567755596449,Residential,4,44.44,0.0,1.0,2006.0,9403,4,-0.0,0.0,0.0,0.0
cell_00017493,29.5240687530281,-95.15522049383242,Residential,5,44.44,0.0,1.0,2002.0,11469,5,-0.0,0.0,0.0,0.0
cell_00017494,29.5240687530281,-95.15366542801996,Residential,6,0.0,0.0,1.0,2011.0,11894,6,-0.0,0.0,0.0,0.0
cell_00017504,29.5240687530281,-95.13811476989528,Institutional,3,2000.0,0.0,1.0,,404661,8,-0.0,0.0,0.0,0.0
cell_00017512,29.5240687530281,-95.12567424339554,Institutional,3,311.11,0.7143,1.0,,262564,12,0.9501,0.0,44.44,1.0
