cell_id,shop_density_km2,brand_ratio
cell_00020189,0.0,0.0
cell_00020190,0.0,0.0
cell_00020192,0.0,0.0
cell_00020193,0.0,0.0
cell_00020194,0.0,0.0
cell_00020195,0.0,0.0
cell_00020196,0.0,0.0
cell_00020197,0.0,0.0
cell_00020198,0.0,0.0
cell_00020199,0.0,0.0
cell_00020200,0.0,0.0
cell_00020201,0.0,0.0
cell_00020202,0.0,0.0
cell_00020203,0.0,0.0
cell_00020205,0.0,0.0
cell_00020206,0.0,0.0
cell_00020207,0.0,0.0
cell_00020208,0.0,0.0
cell_00020209,0.0,0.0
cell_00020210,0.0,0.0
cell_00020244,0.0,0.0
cell_00020245,0.0,0.0
cell_00020867,0.0,0.0
cell_00020868,0.0,0.0
cell_00020869,0.0,0.0
cell_00020870,0.0,0.0
cell_00020871,0.0,0.0
cell_00020872,0.0,0.0
cell_00020873,0.0,0.0
cell_00020874,0.0,0.0
cell_00020875,0.0,0.0
cell_00020876,0.0,0.0
cell_00020877,0.0,0.0
cell_00020878,0.0,0.0
cell_00020879,0.0,0.0
cell_00020880,0.0,0.0
cell_00020881,0.0,0.0
cell_00020882,0.0,0.0
cell_00020883,0.0,0.0
cell_00020884,0.0,0.0
cell_00020885,0.0,0.0
cell_00020886,0.0,0.0
cell_00020887,0.0,0.0
cell_00020888,0.0,0.0
cell_00020889,0.0,0.0
cell_00020915,0.0,0.0
cell_00020920,0.0,0.0
cell_00020921,0.0,0.0
cell_00020922,0.0,0.0
cell_00020923,0.0,0.0
cell_00021546,0.0,0.0
cell_00021547,0.0,0.0
cell_00021548,0.0,0.0
cell_00021549,0.0,0.0
cell_00021550,0.0,0.0
cell_00021551,0.0,0.0
cell_00021552,0.0,0.0
cell_00021553,0.0,0.0
cell_00021555,0.0,0.0
cell_00021556,0.0,0.0
cell_00021557,0.0,0.0
cell_00021558,0.0,0.0
cell_00021559,0.0,0.0
cell_00021560,0.0,0.0
cell_00021561,0.0,0.0
cell_00021562,0.0,0.0
cell_00021563,0.0,0.0
cell_00021565,0.0,0.0
cell_00021566,0.0,0.0
cell_00021567,0.0,0.0
cell_00021597,0.0,0.0
cell_00021598,0.0,0.0
cell_00021599,0.0,0.0
cell_00021600,0.0,0.0
cell_00021601,0.0,0.0
cell_00021602,0.0,0.0
cell_00022225,0.0,0.0
cell_00022226,0.0,0.0
cell_00022227,0.0,0.0
cell_00022228,0.0,0.0
cell_00022229,0.0,0.0
cell_00022230,0.0,0.0
cell_00022231,0.0,0.0
cell_00022232,0.0,0.0
cell_00022233,0.0,0.0
cell_00022234,0.0,0.0
cell_00022235,44.44,0.0
cell_00022236,0.0,0.0
cell_00022237,0.0,0.0
cell_00022238,0.0,0.0
cell_00022239,0.0,0.0
cell_00022240,0.0,0.0
cell_00022241,0.0,0.0
cell_00022242,0.0,0.0
cell_00022244,0.0,0.0
cell_00022245,0.0,0.0
cell_00022276,0.0,0.0
cell_00022277,0.0,0.0
cell_00022278,0.0,0.0
cell_00022279,0.0,0.0
cell_00022280,0.0,0.0
cell_00022904,0.0,0.0
cell_00022905,0.0,0.0
cell_00022906,0.0,0.0
cell_00022907,0.0,0.0
cell_00022908,0.0,0.0
cell_00022909,0.0,0.0
cell_00022910,0.0,0.0
cell_00022911,0.0,0.0
cell_00022912,0.0,0.0
cell_00022913,0.0,0.0
cell_00022914,0.0,0.0
cell_00022915,0.0,0.0
cell_00022916,0.0,0.0
cell_00022917,0.0,0.0
cell_00022918,0.0,0.0
cell_00022919,0.0,0.0
cell_00022920,0.0,0.0
cell_00022936,44.44,1.0
cell_00022939,88.89,0.0
