cell_id,amenity_density,amenity_ratio_food_drink
r0102_c0121,0.0,0.0
r0102_c0122,0.0,0.0
r0102_c0123,44.44,0.0
r0102_c0124,44.44,0.0
r0102_c0125,44.44,0.0
r0102_c0126,44.44,1.0
r0102_c0127,0.0,0.0
r0102_c0128,44.44,0.0
r0102_c0129,44.44,0.0
r0102_c0130,266.67,0.5
r0102_c0131,44.44,0.0
r0102_c0132,0.0,0.0
r0102_c0133,88.89,0.0
r0102_c0134,88.89,0.5
r0102_c0135,0.0,0.0
r0102_c0136,133.33,0.6667
r0102_c0137,88.89,0.0
r0102_c0138,133.33,0.0
r0102_c0139,88.89,0.0
r0102_c0140,44.44,0.0
r0102_c0141,266.67,0.1667
r0103_c0076,311.11,0.2857
r0103_c0077,0.0,0.0
r0103_c0078,0.0,0.0
r0103_c0079,44.44,0.0
r0103_c0080,0.0,0.0
r0103_c0081,0.0,0.0
r0103_c0082,0.0,0.0
r0103_c0083,0.0,0.0
r0103_c0084,0.0,0.0
r0103_c0085,0.0,0.0
r0103_c0086,0.0,0.0
r0103_c0087,177.78,0.0
r0103_c0089,0.0,0.0
r0103_c0090,0.0,0.0
r0103_c0091,0.0,0.0
r0103_c0092,44.44,0.0
r0103_c0093,0.0,0.0
r0103_c0094,0.0,0.0
r0103_c0095,0.0,0.0
r0103_c0096,0.0,0.0
r0103_c0097,0.0,0.0
r0103_c0098,0.0,0.0
r0103_c0111,1466.67,0.4242
r0103_c0112,0.0,0.0
r0103_c0113,0.0,0.0
r0103_c0114,133.33,0.0
r0103_c0115,222.22,0.0
r0103_c0116,0.0,0.0
r0103_c0117,0.0,0.0
r0103_c0118,44.44,0.0
r0103_c0119,0.0,0.0
r0103_c0120,0.0,0.0
r0103_c0121,44.44,0.0
r0103_c0122,0.0,0.0
r0103_c0123,0.0,0.0
r0103_c0124,0.0,0.0
r0103_c0125,0.0,0.0
r0103_c0126,0.0,0.0
r0103_c0127,0.0,0.0
r0103_c0128,0.0,0.0
r0103_c0129,0.0,0.0
r0103_c0130,266.67,0.1667
r0103_c0131,0.0,0.0
r0103_c0132,0.0,0.0
r0103_c0133,0.0,0.0
r0103_c0134,0.0,0.0
r0103_c0135,0.0,0.0
r0103_c0136,0.0,0.0
r0103_c0137,0.0,0.0
r0103_c0138,0.0,0.0
r0103_c0139,0.0,0.0
r0103_c0140,0.0,0.0
r0103_c0141,133.33,0.0
r0104_c0076,266.67,0.6667
r0104_c0077,0.0,0.0
r0104_c0078,0.0,0.0
r0104_c0079,0.0,0.0
r0104_c0080,0.0,0.0
r0104_c0081,0.0,0.0
