cell_id,road_density_primary
r0103_c0132,4.39
r0103_c0133,10.1
r0103_c0134,14.99
r0103_c0135,0.0
r0103_c0136,0.0
r0103_c0137,0.0
r0103_c0138,0.0
r0103_c0139,17.11
r0103_c0140,0.0
r0103_c0141,0.0
r0104_c0076,0.0
r0104_c0077,0.0
r0104_c0078,0.0
r0104_c0079,0.0
r0104_c0080,6.61
r0104_c0081,0.0
r0104_c0082,0.0
r0104_c0083,0.0
r0104_c0084,0.0
r0104_c0085,2.6
r0104_c0086,0.0
r0104_c0087,0.0
r0104_c0088,0.0
r0104_c0089,0.0
r0104_c0090,0.0
r0104_c0091,0.0
r0104_c0092,0.0
r0104_c0093,0.0
r0104_c0094,0.0
r0104_c0095,0.0
r0104_c0096,6.06
r0104_c0097,7.34
r0104_c0098,4.88
r0104_c0111,0.0
r0104_c0112,2.49
r0104_c0113,0.0
r0104_c0114,0.0
r0104_c0115,5.19
r0104_c0116,0.0
r0104_c0117,0.0
r0104_c0118,17.48
r0104_c0119,0.0
r0104_c0120,5.2
r0104_c0121,0.0
r0104_c0122,0.0
r0104_c0123,2.35
r0104_c0124,0.0
r0104_c0125,0.0
r0104_c0126,0.0
r0104_c0127,0.0
r0104_c0128,9.78
r0104_c0129,0.0
r0104_c0130,0.0
r0104_c0131,2.14
r0104_c0132,5.89
r0104_c0133,0.0
r0104_c0134,0.0
r0104_c0135,0.0
r0104_c0136,0.0
r0104_c0137,0.0
r0104_c0138,0.0
r0104_c0139,15.98
r0104_c0140,0.0
r0104_c0141,5.08
r0105_c0076,0.0
r0105_c0077,0.0
r0105_c0078,0.0
r0105_c0079,0.0
r0105_c0080,3.66
r0105_c0081,0.0
r0105_c0082,0.0
r0105_c0083,0.0
r0105_c0084,0.0
r0105_c0085,10.53
r0105_c0086,0.0
r0105_c0087,0.0
r0105_c0088,0.0
r0105_c0089,0.0
r0105_c0090,0.0
r0105_c0091,11.72
r0105_c0092,0.0
r0105_c0093,0.0
r0105_c0094,0.0
r0105_c0095,13.11
r0105_c0096,13.76
r0105_c0097,0.0
r0105_c0111,0.0
r0105_c0112,0.0
r0105_c0113,0.0
r0105_c0114,0.0
r0105_c0115,0.84
r0105_c0116,0.0
r0105_c0117,0.0
r0105_c0118,18.42
r0105_c0119,0.0
r0105_c0120,7.58
r0105_c0121,0.0
r0105_c0122,0.0
r0105_c0123,0.24
r0105_c0124,0.0
r0105_c0126,0.0
r0105_c0127,0.0
r0105_c0128,8.02
r0105_c0129,0.0
r0105_c0130,1.34
r0105_c0131,10.98
r0105_c0132,0.0
r0105_c0133,0.0
r0105_c0134,11.81
r0105_c0135,0.0
r0105_c0136,0.0
r0105_c0137,0.0
r0105_c0138,0.0
r0105_c0139,7.55
r0105_c0140,0.0
r0105_c0141,12.92
r0106_c0076,0.0
r0106_c0077,0.0
r0106_c0078,0.0
r0106_c0079,0.0
r0106_c0080,18.02
r0106_c0081,0.0
r0106_c0082,0.0
r0106_c0083,0.0
r0106_c0084,0.0
r0106_c0085,4.74
r0106_c0086,0.0
r0106_c0087,0.0
r0106_c0088,0.0
r0106_c0089,0.0
r0106_c0090,0.0
r0106_c0091,5.48
r0106_c0092,0.0
r0106_c0093,16.82
r0106_c0094,0.0
r0106_c0095,0.0
r0106_c0096,7.0
r0106_c0097,0.0
r0106_c0111,0.0
r0106_c0112,17.29
r0106_c0113,0.0
r0106_c0114,0.0
r0106_c0115,15.51
r0106_c0116,0.0
r0106_c0117,0.0
r0106_c0118,9.15
r0106_c0119,0.0
r0106_c0120,1.85
r0106_c0121,0.0
r0106_c0122,0.0
r0106_c0123,17.44
r0106_c0124,0.0
r0106_c0126,0.0
r0106_c0127,0.0
r0106_c0128,6.8
r0106_c0129,10.57
r0106_c0130,0.0
r0106_c0131,0.0
r0106_c0132,0.0
r0106_c0133,0.0
r0106_c0134,0.0
r0106_c0135,17.9
r0106_c0136,0.0
r0106_c0137,4.52
r0106_c0138,8.93
r0106_c0139,15.94
r0106_c0140,12.88
r0107_c0076,0.0
r0107_c0077,0.0
r0107_c0078,0.0
r0107_c0079,0.0
r0107_c0080,7.01
r0107_c0081,0.0
r0107_c0082,0.0
r0107_c0083,0.0
r0107_c0084,0.0
r0107_c0085,9.38
r0107_c0086,0.0
r0107_c0087,0.0
r0107_c0088,10.73
r0107_c0089,2.56
r0107_c0090,5.94
r0107_c0091,6.36
r0107_c0092,12.99
r0107_c0093,0.0
r0107_c0094,21.01
r0107_c0095,0.0
r0107_c0096,12.25
r0107_c0097,11.4
r0107_c0098,3.54
r0107_c0099,2.72
r0107_c0100,13.59
r0107_c0101,2.62
r0107_c0102,2.65
r0107_c0103,15.34
r0107_c0106,8.97
r0107_c0112,2.59
r0107_c0113,1.88
r0107_c0114,14.81
r0107_c0115,0.0
r0107_c0116,16.29
r0107_c0117,1.57
r0107_c0118,12.22
r0107_c0119,15.33
r0107_c0120,11.39
r0107_c0121,0.0
r0107_c0122,15.18
r0107_c0123,4.74
r0107_c0124,0.0
r0107_c0126,0.0
r0107_c0127,1.09
r0107_c0128,21.56
r0107_c0129,1.9
r0107_c0130,16.11
r0107_c0131,0.0
r0107_c0132,16.94
r0107_c0133,0.0
r0107_c0134,12.62
r0107_c0135,16.53
r0107_c0136,0.0
r0107_c0137,6.21
r0107_c0138,5.75
r0107_c0139,20.5
r0107_c0140,5.64
r0108_c0076,0.0
r0108_c0077,0.0
r0108_c0078,0.0
r0108_c0079,0.0
r0108_c0080,0.0
r0108_c0081,0.0
r0108_c0082,0.0
r0108_c0083,0.0
r0108_c0084,5.24
r0108_c0085,13.72
r0108_c0086,1.87
r0108_c0087,11.94
r0108_c0088,0.0
r0108_c0089,0.0
r0108_c0090,0.0
r0108_c0091,15.98
r0108_c0092,0.0
r0108_c0093,0.0
r0108_c0094,0.0
r0108_c0095,0.0
r0108_c0096,7.12
r0108_c0097,0.0
r0108_c0098,0.0
r0108_c0099,0.0
r0108_c0100,0.0
r0108_c0101,18.06
r0108_c0102,0.0
r0108_c0103,0.0
r0108_c0109,0.0
r0108_c0112,18.08
r0108_c0113,0.0
r0108_c0114,0.0
r0108_c0115,18.11
r0108_c0116,0.0
r0108_c0117,0.0
r0108_c0118,16.39
r0108_c0119,0.0
r0108_c0120,0.0
r0108_c0121,0.0
r0108_c0122,0.0
r0108_c0123,0.0
r0108_c0124,0.0
r0108_c0126,0.0
r0108_c0127,9.45
r0108_c0128,6.93
r0108_c0129,0.0
r0108_c0130,0.0
r0108_c0131,0.0
r0108_c0132,0.0
r0108_c0133,0.0
r0108_c0134,0.0
r0108_c0135,0.0
r0108_c0136,0.0
r0108_c0137,0.0
r0108_c0138,4.87
r0108_c0139,20.24
r0108_c0140,0.0
r0109_c0076,0.0
r0109_c0077,0.0
r0109_c0078,0.0
r0109_c0079,0.0
r0109_c0080,19.31
r0109_c0081,6.74
r0109_c0082,7.62
r0109_c0083,5.06
r0109_c0084,3.25
r0109_c0085,6.59
r0109_c0086,0.0
r0109_c0087,0.0
r0109_c0088,0.0
r0109_c0089,0.0
r0109_c0090,0.0
r0109_c0091,0.0
r0109_c0092,0.0
r0109_c0093,0.0
r0109_c0094,0.0
r0109_c0095,0.0
r0109_c0096,6.41
r0109_c0097,0.0
r0109_c0098,0.0
