cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0099_c0084,41.7828255,-87.7871049,Residential,43
r0099_c0085,41.7828255,-87.785289,Residential,43
r0099_c0086,41.7828255,-87.7834732,Residential,34
r0099_c0087,41.7828255,-87.7816573,Residential,42
r0099_c0088,41.7828255,-87.7798414,Residential,46
r0099_c0089,41.7828255,-87.7780255,Residential,32
r0099_c0090,41.7828255,-87.7762097,Residential,38
r0099_c0091,41.7828255,-87.7743938,Residential,36
r0099_c0092,41.7828255,-87.7725779,Residential,40
r0099_c0093,41.7828255,-87.7707621,Residential,40
r0099_c0094,41.7828255,-87.7689462,Residential,40
r0099_c0095,41.7828255,-87.7671303,Residential,43
r0099_c0096,41.7828255,-87.7653145,Residential,39
r0099_c0097,41.7828255,-87.7634986,Residential,45
r0099_c0098,41.7828255,-87.7616827,Commercial,19
r0099_c0109,41.7828255,-87.7417081,Residential,29
r0099_c0110,41.7828255,-87.7398923,Residential,43
r0099_c0111,41.7828255,-87.7380764,Commercial,8
r0099_c0112,41.7828255,-87.7362605,Residential,44
r0099_c0113,41.7828255,-87.7344446,Residential,30
r0099_c0114,41.7828255,-87.7326288,Residential,58
r0099_c0115,41.7828255,-87.7308129,Residential,30
r0099_c0116,41.7828255,-87.728997,Residential,57
r0099_c0118,41.7828255,-87.7253653,Residential,19
r0099_c0119,41.7828255,-87.7235494,Residential,43
r0099_c0120,41.7828255,-87.7217335,Residential,48
r0099_c0121,41.7828255,-87.7199177,Residential,29
r0099_c0122,41.7828255,-87.7181018,Residential,30
r0099_c0123,41.7828255,-87.7162859,Residential,30
r0099_c0124,41.7828255,-87.7144701,Residential,52
r0099_c0125,41.7828255,-87.7126542,Residential,39
r0099_c0126,41.7828255,-87.7108383,Residential,43
r0099_c0127,41.7828255,-87.7090224,Residential,45
r0099_c0128,41.7828255,-87.7072066,Residential,51
r0099_c0129,41.7828255,-87.7053907,Residential,42
r0099_c0130,41.7828255,-87.7035748,Residential,28
r0099_c0131,41.7828255,-87.701759,Residential,38
r0099_c0132,41.7828255,-87.6999431,Residential,40
r0099_c0133,41.7828255,-87.6981272,Residential,40
r0099_c0134,41.7828255,-87.6963113,Residential,42
r0099_c0135,41.7828255,-87.6944955,Residential,42
r0099_c0136,41.7828255,-87.6926796,Residential,39
r0099_c0137,41.7828255,-87.6908637,Residential,41
r0099_c0138,41.7828255,-87.6890479,Residential,34
r0099_c0139,41.7828255,-87.687232,Residential,37
r0099_c0140,41.7828255,-87.6854161,Residential,40
r0099_c0141,41.7828255,-87.6836002,Commercial,14
r0100_c0077,41.7841769,-87.799816,Commercial,4
r0100_c0078,41.7841769,-87.7980001,Mixed-Use,3
r0100_c0079,41.7841769,-87.7961843,Mixed-Use,3
r0100_c0080,41.7841769,-87.7943684,Commercial,5
r0100_c0081,41.7841769,-87.7925525,Residential,27
r0100_c0082,41.7841769,-87.7907366,Residential,19
r0100_c0083,41.7841769,-87.7889208,Residential,31
r0100_c0084,41.7841769,-87.7871049,Residential,26
r0100_c0085,41.7841769,-87.785289,Residential,32
r0100_c0086,41.7841769,-87.7834732,Residential,29
r0100_c0087,41.7841769,-87.7816573,Residential,31
r0100_c0088,41.7841769,-87.7798414,Residential,29
r0100_c0089,41.7841769,-87.7780255,Residential,45
r0100_c0090,41.7841769,-87.7762097,Residential,40
r0100_c0091,41.7841769,-87.7743938,Residential,31
r0100_c0092,41.7841769,-87.7725779,Residential,31
r0100_c0093,41.7841769,-87.7707621,Residential,33
r0100_c0094,41.7841769,-87.7689462,Residential,31
r0100_c0095,41.7841769,-87.7671303,Residential,25
r0100_c0096,41.7841769,-87.7653145,Residential,25
r0100_c0097,41.7841769,-87.7634986,Residential,39
r0100_c0098,41.7841769,-87.7616827,Commercial,17
r0100_c0109,41.7841769,-87.7417081,Residential,3
r0100_c0110,41.7841769,-87.7398923,Residential,11
r0100_c0111,41.7841769,-87.7380764,Commercial,7
r0100_c0112,41.7841769,-87.7362605,Residential,44
r0100_c0113,41.7841769,-87.7344446,Residential,41
r0100_c0114,41.7841769,-87.7326288,Residential,41
r0100_c0115,41.7841769,-87.7308129,Residential,33
r0100_c0116,41.7841769,-87.728997,Residential,51
r0100_c0117,41.7841769,-87.7271812,Residential,17
r0100_c0118,41.7841769,-87.7253653,Residential,44
r0100_c0119,41.7841769,-87.7235494,Residential,32
r0100_c0120,41.7841769,-87.7217335,Residential,49
r0100_c0121,41.7841769,-87.7199177,Residential,50
r0100_c0122,41.7841769,-87.7181018,Residential,54
r0100_c0123,41.7841769,-87.7162859,Residential,42
r0100_c0124,41.7841769,-87.7144701,Residential,49
r0100_c0125,41.7841769,-87.7126542,Residential,44
r0100_c0126,41.7841769,-87.7108383,Residential,47
r0100_c0127,41.7841769,-87.7090224,Residential,44
r0100_c0128,41.7841769,-87.7072066,Residential,50
r0100_c0129,41.7841769,-87.7053907,Residential,37
r0100_c0130,41.7841769,-87.7035748,Residential,45
r0100_c0131,41.7841769,-87.701759,Residential,39
r0100_c0132,41.7841769,-87.6999431,Residential,40
r0100_c0133,41.7841769,-87.6981272,Residential,39
r0100_c0134,41.7841769,-87.6963113,Residential,41
r0100_c0135,41.7841769,-87.6944955,Residential,42
r0100_c0136,41.7841769,-87.6926796,Residential,38
r0100_c0137,41.7841769,-87.6908637,Residential,41
r0100_c0138,41.7841769,-87.6890479,Residential,29
r0100_c0139,41.7841769,-87.687232,Residential,30
r0100_c0140,41.7841769,-87.6854161,Residential,42
r0100_c0141,41.7841769,-87.6836002,Commercial,10
r0101_c0076,41.7855282,-87.8016319,Commercial,5
r0101_c0077,41.7855282,-87.799816,Residential,41
r0101_c0078,41.7855282,-87.7980001,Residential,35
r0101_c0079,41.7855282,-87.7961843,Residential,39
r0101_c0080,41.7855282,-87.7943684,Residential,29
r0101_c0081,41.7855282,-87.7925525,Residential,57
r0101_c0082,41.7855282,-87.7907366,Residential,30
r0101_c0083,41.7855282,-87.7889208,Residential,52
r0101_c0084,41.7855282,-87.7871049,Residential,23
r0101_c0085,41.7855282,-87.785289,Residential,36
r0101_c0086,41.7855282,-87.7834732,Residential,34
r0101_c0087,41.7855282,-87.7816573,Residential,38
r0101_c0088,41.7855282,-87.7798414,Residential,34
r0101_c0089,41.7855282,-87.7780255,Residential,40
r0101_c0090,41.7855282,-87.7762097,Residential,40
r0101_c0091,41.7855282,-87.7743938,Residential,48
r0101_c0092,41.7855282,-87.7725779,Residential,39
r0101_c0093,41.7855282,-87.7707621,Residential,43
r0101_c0094,41.7855282,-87.7689462,Residential,40
r0101_c0095,41.7855282,-87.7671303,Residential,39
r0101_c0096,41.7855282,-87.7653145,Residential,18
r0101_c0103,41.7855282,-87.7526034,Commercial,40
r0101_c0111,41.7855282,-87.7380764,Commercial,7
r0101_c0112,41.7855282,-87.7362605,Residential,43
r0101_c0113,41.7855282,-87.7344446,Residential,40
r0101_c0114,41.7855282,-87.7326288,Residential,36
r0101_c0115,41.7855282,-87.7308129,Residential,37
r0101_c0116,41.7855282,-87.728997,Residential,43
r0101_c0117,41.7855282,-87.7271812,Residential,40
r0101_c0118,41.7855282,-87.7253653,Residential,57
r0101_c0119,41.7855282,-87.7235494,Commercial,39
r0101_c0120,41.7855282,-87.7217335,Residential,32
r0101_c0121,41.7855282,-87.7199177,Residential,29
r0101_c0122,41.7855282,-87.7181018,Residential,27
r0101_c0123,41.7855282,-87.7162859,Residential,41
r0101_c0124,41.7855282,-87.7144701,Residential,44
r0101_c0125,41.7855282,-87.7126542,Residential,37
r0101_c0126,41.7855282,-87.7108383,Residential,46
r0101_c0127,41.7855282,-87.7090224,Residential,46
r0101_c0128,41.7855282,-87.7072066,Residential,48
r0101_c0129,41.7855282,-87.7053907,Residential,42
r0101_c0130,41.7855282,-87.7035748,Residential,76
r0101_c0131,41.7855282,-87.701759,Residential,47
r0101_c0132,41.7855282,-87.6999431,Residential,48
r0101_c0133,41.7855282,-87.6981272,Residential,46
r0101_c0134,41.7855282,-87.6963113,Residential,48
r0101_c0135,41.7855282,-87.6944955,Residential,49
r0101_c0136,41.7855282,-87.6926796,Residential,50
r0101_c0137,41.7855282,-87.6908637,Residential,53
r0101_c0138,41.7855282,-87.6890479,Residential,41
