cell_id,intersection_density
r0107_c0085,0.0
r0107_c0086,0.0
r0107_c0087,44.44
r0107_c0088,0.0
r0107_c0089,44.44
r0107_c0090,88.89
r0107_c0091,44.44
r0107_c0092,133.33
r0107_c0093,133.33
r0107_c0094,88.89
r0107_c0095,0.0
r0107_c0096,44.44
r0107_c0097,177.78
r0107_c0098,44.44
r0107_c0099,0.0
r0107_c0100,0.0
r0107_c0101,0.0
r0107_c0102,44.44
r0107_c0103,133.33
r0107_c0106,444.44
r0107_c0112,44.44
r0107_c0113,88.89
r0107_c0114,88.89
r0107_c0115,44.44
r0107_c0116,44.44
r0107_c0117,88.89
r0107_c0118,44.44
r0107_c0119,177.78
r0107_c0120,88.89
r0107_c0121,44.44
r0107_c0122,44.44
r0107_c0123,44.44
r0107_c0124,88.89
r0107_c0126,44.44
r0107_c0127,44.44
r0107_c0128,44.44
r0107_c0129,88.89
r0107_c0130,133.33
r0107_c0131,44.44
r0107_c0132,0.0
r0107_c0133,88.89
r0107_c0134,88.89
r0107_c0135,88.89
r0107_c0136,44.44
r0107_c0137,133.33
r0107_c0138,44.44
r0107_c0139,0.0
r0107_c0140,177.78
r0108_c0076,88.89
r0108_c0077,0.0
r0108_c0078,0.0
r0108_c0079,0.0
r0108_c0080,0.0
r0108_c0081,0.0
r0108_c0082,0.0
r0108_c0083,0.0
r0108_c0084,44.44
r0108_c0085,0.0
r0108_c0086,0.0
r0108_c0087,0.0
r0108_c0088,0.0
r0108_c0089,0.0
r0108_c0090,0.0
r0108_c0091,44.44
r0108_c0092,0.0
r0108_c0093,88.89
r0108_c0094,133.33
r0108_c0095,133.33
r0108_c0096,266.67
r0108_c0097,133.33
r0108_c0098,177.78
r0108_c0099,0.0
r0108_c0100,44.44
r0108_c0101,0.0
r0108_c0102,44.44
r0108_c0103,44.44
r0108_c0109,622.22
r0108_c0112,0.0
r0108_c0113,0.0
r0108_c0114,44.44
r0108_c0115,0.0
r0108_c0116,44.44
r0108_c0117,0.0
r0108_c0118,44.44
r0108_c0119,222.22
r0108_c0120,0.0
r0108_c0121,0.0
r0108_c0122,0.0
r0108_c0123,0.0
r0108_c0124,133.33
r0108_c0126,88.89
r0108_c0127,0.0
r0108_c0128,0.0
r0108_c0129,0.0
r0108_c0130,88.89
r0108_c0131,0.0
r0108_c0132,0.0
r0108_c0133,0.0
r0108_c0134,0.0
r0108_c0135,44.44
r0108_c0136,0.0
r0108_c0137,44.44
r0108_c0138,0.0
r0108_c0139,44.44
r0108_c0140,222.22
r0109_c0076,44.44
r0109_c0077,88.89
r0109_c0078,0.0
r0109_c0079,0.0
r0109_c0080,0.0
r0109_c0081,0.0
r0109_c0082,0.0
r0109_c0083,44.44
r0109_c0084,44.44
r0109_c0085,0.0
r0109_c0086,0.0
r0109_c0087,0.0
r0109_c0088,0.0
r0109_c0089,0.0
r0109_c0090,44.44
r0109_c0091,0.0
r0109_c0092,133.33
r0109_c0093,44.44
r0109_c0094,0.0
r0109_c0095,0.0
r0109_c0096,88.89
r0109_c0097,133.33
r0109_c0098,266.67
r0109_c0099,88.89
r0109_c0100,133.33
r0109_c0101,177.78
r0109_c0102,44.44
r0109_c0103,44.44
r0109_c0109,133.33
r0109_c0110,44.44
r0109_c0112,44.44
r0109_c0113,88.89
r0109_c0114,0.0
r0109_c0115,0.0
r0109_c0116,0.0
r0109_c0117,0.0
r0109_c0118,133.33
r0109_c0119,266.67
r0109_c0120,44.44
r0109_c0121,44.44
r0109_c0122,0.0
r0109_c0123,44.44
r0109_c0124,44.44
r0109_c0125,0.0
r0109_c0126,0.0
r0109_c0127,0.0
r0109_c0128,0.0
r0109_c0129,0.0
r0109_c0130,44.44
r0109_c0131,0.0
r0109_c0132,0.0
r0109_c0133,0.0
r0109_c0134,0.0
r0109_c0135,0.0
r0109_c0136,0.0
r0109_c0137,0.0
r0109_c0138,0.0
r0109_c0139,0.0
