cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0032_c0057,39.9176951,-75.1743086,Residential,173
r0032_c0058,39.9176951,-75.1725445,Residential,152
r0032_c0059,39.9176951,-75.1707804,Commercial,91
r0032_c0060,39.9176951,-75.1690164,Residential,121
r0032_c0061,39.9176951,-75.1672523,Residential,197
r0032_c0062,39.9176951,-75.1654883,Residential,187
r0032_c0063,39.9176951,-75.1637242,Residential,152
r0032_c0064,39.9176951,-75.1619602,Residential,194
r0032_c0065,39.9176951,-75.1601961,Residential,166
r0032_c0066,39.9176951,-75.158432,Residential,188
r0032_c0067,39.9176951,-75.156668,Residential,179
r0032_c0068,39.9176951,-75.1549039,Residential,131
r0032_c0069,39.9176951,-75.1531399,Residential,181
r0032_c0070,39.9176951,-75.1513758,Residential,177
r0032_c0071,39.9176951,-75.1496118,Residential,198
r0032_c0072,39.9176951,-75.1478477,Industrial,45
r0033_c0016,39.9190464,-75.2466349,Residential,41
r0033_c0017,39.9190464,-75.2448708,Residential,50
r0033_c0018,39.9190464,-75.2431068,Residential,26
r0033_c0019,39.9190464,-75.2413427,Residential,98
r0033_c0020,39.9190464,-75.2395787,Residential,19
r0033_c0023,39.9190464,-75.2342865,Residential,84
r0033_c0024,39.9190464,-75.2325224,Residential,99
r0033_c0025,39.9190464,-75.2307584,Residential,115
r0033_c0026,39.9190464,-75.2289943,Residential,100
r0033_c0027,39.9190464,-75.2272303,Residential,124
r0033_c0028,39.9190464,-75.2254662,Residential,74
r0033_c0029,39.9190464,-75.2237022,Residential,60
r0033_c0030,39.9190464,-75.2219381,Industrial,3
r0033_c0036,39.9190464,-75.2113538,Industrial,4
r0033_c0047,39.9190464,-75.1919491,Mixed-Use,5
r0033_c0051,39.9190464,-75.1848929,Commercial,3
r0033_c0052,39.9190464,-75.1831288,Mixed-Use,21
r0033_c0053,39.9190464,-75.1813648,Commercial,31
r0033_c0054,39.9190464,-75.1796007,Residential,36
r0033_c0055,39.9190464,-75.1778367,Residential,91
r0033_c0056,39.9190464,-75.1760726,Residential,145
r0033_c0057,39.9190464,-75.1743086,Residential,132
r0033_c0058,39.9190464,-75.1725445,Residential,177
r0033_c0059,39.9190464,-75.1707804,Commercial,132
r0033_c0060,39.9190464,-75.1690164,Residential,162
r0033_c0061,39.9190464,-75.1672523,Residential,154
r0033_c0062,39.9190464,-75.1654883,Residential,167
r0033_c0063,39.9190464,-75.1637242,Residential,179
r0033_c0064,39.9190464,-75.1619602,Residential,185
r0033_c0065,39.9190464,-75.1601961,Residential,209
r0033_c0066,39.9190464,-75.158432,Residential,179
r0033_c0067,39.9190464,-75.156668,Mixed-Use,68
r0033_c0068,39.9190464,-75.1549039,Residential,176
r0033_c0069,39.9190464,-75.1531399,Residential,189
r0033_c0070,39.9190464,-75.1513758,Residential,62
r0033_c0071,39.9190464,-75.1496118,Residential,182
r0033_c0072,39.9190464,-75.1478477,Industrial,40
r0034_c0016,39.9203978,-75.2466349,Residential,25
r0034_c0017,39.9203978,-75.2448708,Residential,66
r0034_c0018,39.9203978,-75.2431068,Residential,51
r0034_c0019,39.9203978,-75.2413427,Residential,43
