cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0026_c0054,39.909587,-75.1796007,Residential,80,133.33,0.0,2.3,1976,131861.0,58.0,0.7617,0.0,0.0,0.0,0.0,0.0,0.0
r0026_c0055,39.909587,-75.1778367,Residential,92,44.44,0.0,2.0,1961,146209.0,89.0,0.4516,0.0,0.0,14.04,0.0,0.0,0.0
r0026_c0056,39.909587,-75.1760726,Residential,96,44.44,0.0,2.0,1973,148670.0,103.0,-0.0,0.0,0.0,14.1,0.0,44.44,0.0
r0026_c0057,39.909587,-75.1743086,Residential,27,0.0,0.0,2.0,1975,75080.0,48.0,-0.0,0.0,0.0,13.69,0.0,44.44,0.0
r0026_c0058,39.909587,-75.1725445,Residential,50,355.56,0.0,1.8,1953,31749.0,21.0,0.9496,0.0,0.0,24.59,0.0,44.44,0.0
r0026_c0059,39.909587,-75.1707804,Residential,45,88.89,0.0,2.0,1935,96202.0,74.0,0.6805,0.0,0.0,7.22,0.0,177.78,0.0
r0027_c0014,39.9109383,-75.250163,Residential,7,355.56,0.0,,,,,0.0,0.0,0.0,0.0,222.22,222.22,0.0
r0027_c0015,39.9109383,-75.248399,Mixed-Use,63,0.0,0.0,1.8,1923,49602.0,51.0,0.3228,0.0,0.0,0.0,0.0,0.0,0.0
r0027_c0016,39.9109383,-75.2466349,Residential,88,0.0,0.0,1.8,1924,91732.0,87.0,-0.0,0.0,0.0,12.53,0.0,88.89,0.0
r0027_c0017,39.9109383,-75.2448708,Residential,130,0.0,0.0,2.0,1923,122218.0,116.0,0.0211,0.0,0.0,0.0,0.0,44.44,0.0
r0027_c0018,39.9109383,-75.2431068,Residential,58,44.44,1.0,1.9,1926,100855.0,92.0,0.7344,0.0,0.0,0.0,88.89,177.78,44.44
r0027_c0019,39.9109383,-75.2413427,Residential,82,44.44,1.0,2.0,1926,64311.0,55.0,0.4891,44.44,0.0,0.0,0.0,133.33,0.0
r0027_c0020,39.9109383,-75.2395787,Residential,89,0.0,0.0,1.8,1928,103566.0,96.0,0.0644,0.0,0.0,12.42,0.0,44.44,0.0
r0027_c0021,39.9109383,-75.2378146,Residential,39,88.89,0.0,1.9,1965,74488.0,57.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0027_c0022,39.9109383,-75.2360506,Residential,4,0.0,0.0,2.0,1978,69297.0,4.0,0.9209,0.0,0.0,23.4,0.0,0.0,0.0
r0027_c0023,39.9109383,-75.2342865,Residential,33,0.0,0.0,1.8,1966,121165.0,28.0,0.6231,0.0,0.0,23.06,0.0,177.78,0.0
r0027_c0024,39.9109383,-75.2325224,Residential,59,0.0,0.0,1.7,1961,78578.0,51.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0027_c0025,39.9109383,-75.2307584,Residential,19,44.44,0.0,2.0,1939,61504.0,34.0,-0.0,0.0,0.0,0.0,0.0,266.67,0.0
r0027_c0048,39.9109383,-75.1901851,Residential,31,0.0,0.0,3.0,2021,71613.0,24.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0027_c0049,39.9109383,-75.188421,Residential,50,0.0,0.0,2.8,2015,135064.0,44.0,-0.0,0.0,0.0,0.0,0.0,133.33,0.0
r0027_c0050,39.9109383,-75.186657,Residential,20,0.0,0.0,2.6,1997,64589.0,32.0,1.1332,0.0,0.0,14.08,0.0,0.0,0.0
r0027_c0051,39.9109383,-75.1848929,Industrial,49,0.0,0.0,1.3,1992,95566.0,49.0,1.0034,0.0,0.0,1.58,0.0,0.0,0.0
r0027_c0052,39.9109383,-75.1831288,Industrial,26,0.0,0.0,1.2,2002,51805.0,27.0,1.0589,0.0,0.0,26.96,0.0,177.78,0.0
r0027_c0053,39.9109383,-75.1813648,Residential,92,0.0,0.0,2.0,1941,85841.0,69.0,-0.0,0.0,0.0,10.75,0.0,0.0,0.0
r0027_c0054,39.9109383,-75.1796007,Residential,87,0.0,0.0,2.0,1960,111118.0,91.0,-0.0,0.0,0.0,16.24,0.0,0.0,0.0
r0027_c0055,39.9109383,-75.1778367,Residential,83,0.0,0.0,2.0,1961,114544.0,96.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0027_c0056,39.9109383,-75.1760726,Residential,87,0.0,0.0,2.0,1960,89692.0,72.0,0.5896,0.0,0.0,0.0,0.0,0.0,0.0
r0027_c0057,39.9109383,-75.1743086,Mixed-Use,35,44.44,1.0,2.0,1960,103445.0,55.0,0.9971,0.0,0.0,0.0,0.0,44.44,44.44
r0027_c0058,39.9109383,-75.1725445,Residential,22,44.44,0.0,,,0.0,1.0,-0.0,0.0,0.0,17.66,0.0,133.33,0.0
