cell_id,amenity_density,amenity_ratio_food_drink
r0031_c0028,800.0,0.0556
r0031_c0029,844.44,0.1053
r0031_c0030,666.67,0.2667
r0031_c0031,1688.89,0.1579
r0031_c0032,3244.44,0.589
r0031_c0033,2888.89,0.4615
r0031_c0034,2311.11,0.4038
r0031_c0035,1911.11,0.2326
r0031_c0036,1600.0,0.4722
r0031_c0037,888.89,0.15
r0031_c0038,1688.89,0.2632
r0031_c0039,22044.44,0.0
r0032_c0020,355.56,0.0
r0032_c0021,88.89,0.0
r0032_c0022,1288.89,0.069
r0032_c0023,844.44,0.5789
r0032_c0024,1733.33,0.5128
r0032_c0025,2266.67,0.6863
r0032_c0026,1644.44,0.5405
r0032_c0027,8044.44,0.0055
r0032_c0028,6622.22,0.0336
r0032_c0029,622.22,0.5714
r0032_c0030,1466.67,0.1818
r0032_c0031,1244.44,0.25
r0032_c0032,1466.67,0.3939
r0032_c0033,1644.44,0.4595
r0032_c0034,1333.33,0.2
r0032_c0035,1911.11,0.4651
r0032_c0036,1955.56,0.3409
r0032_c0037,4488.89,0.0495
r0033_c0020,266.67,0.0
r0033_c0021,177.78,0.0
r0033_c0022,1066.67,0.1667
r0033_c0023,533.33,0.4167
r0033_c0024,1244.44,0.5714
r0033_c0025,1377.78,0.4194
r0033_c0026,5466.67,0.0244
r0033_c0027,7644.44,0.0
r0033_c0028,1777.78,0.05
r0033_c0029,1200.0,0.2593
r0033_c0030,355.56,0.125
r0033_c0031,800.0,0.4444
r0033_c0032,977.78,0.3182
r0033_c0033,444.44,0.3
r0033_c0034,1200.0,0.3704
r0033_c0035,2311.11,0.3269
r0034_c0020,977.78,0.0455
r0034_c0021,355.56,0.375
r0034_c0022,888.89,0.35
r0034_c0023,1244.44,0.5
r0034_c0024,1600.0,0.7222
r0034_c0025,800.0,0.2778
r0034_c0026,1644.44,0.2432
r0034_c0027,1733.33,0.359
r0034_c0028,222.22,0.4
r0034_c0029,1466.67,0.303
r0034_c0030,1022.22,0.3043
r0034_c0031,1688.89,0.1842
r0034_c0032,844.44,0.4737
r0034_c0033,2222.22,0.4
r0034_c0034,1866.67,0.381
r0034_c0035,222.22,0.0
r0034_c0036,2000.0,0.2222
r0035_c0020,622.22,0.0714
r0035_c0021,133.33,0.0
r0035_c0022,844.44,0.4211
r0035_c0023,977.78,0.2273
r0035_c0024,1066.67,0.5833
r0035_c0025,755.56,0.4706
r0035_c0026,1866.67,0.2857
r0035_c0027,222.22,0.2
r0035_c0028,133.33,0.0
r0035_c0029,933.33,0.2857
r0035_c0030,1777.78,0.45
r0035_c0031,2933.33,0.1515
r0035_c0032,977.78,0.4545
r0035_c0033,800.0,0.2222
r0035_c0034,1688.89,0.1053
r0035_c0035,711.11,0.0625
r0035_c0036,355.56,0.125
r0035_c0037,3422.22,0.0519
r0036_c0020,1066.67,0.0
r0036_c0021,1244.44,0.1429
r0036_c0022,1466.67,0.3636
r0036_c0023,311.11,0.2857
r0036_c0024,355.56,0.375
r0036_c0025,1377.78,0.4839
r0036_c0026,711.11,0.0625
r0036_c0027,1022.22,0.3478
r0036_c0028,488.89,0.0909
r0036_c0029,1777.78,0.075
r0036_c0030,2800.0,0.2381
r0036_c0032,1244.44,0.1786
r0036_c0033,711.11,0.5625
r0036_c0034,800.0,0.2222
r0036_c0035,488.89,0.2727
r0036_c0036,577.78,0.0
r0036_c0037,1200.0,0.2963
r0037_c0021,266.67,0.0
r0037_c0022,400.0,0.3333
r0037_c0023,666.67,0.2
r0037_c0024,177.78,0.5
r0037_c0025,977.78,0.1818
r0037_c0026,311.11,0.4286
r0037_c0027,933.33,0.4762
r0037_c0028,1466.67,0.1212
r0037_c0029,933.33,0.0476
r0037_c0030,1422.22,0.1562
r0037_c0031,3688.89,0.2651
r0037_c0032,888.89,0.25
r0037_c0033,488.89,0.7273
r0037_c0034,888.89,0.35
r0037_c0035,400.0,0.1111
