cell_id,road_density_primary
r0041_c0037,0.0
r0041_c0038,0.0
r0041_c0039,8.48
r0041_c0040,4.45
r0042_c0022,20.84
r0042_c0023,17.39
r0042_c0024,13.57
r0042_c0025,14.07
r0042_c0026,10.62
r0042_c0027,22.55
r0042_c0028,9.64
r0042_c0029,7.12
r0042_c0030,0.0
r0042_c0031,7.28
r0042_c0032,17.0
r0042_c0033,0.0
r0042_c0034,0.0
r0042_c0035,0.0
r0042_c0036,6.23
r0042_c0037,2.78
r0042_c0038,0.0
r0042_c0039,0.0
r0042_c0040,4.34
r0042_c0041,7.54
r0043_c0022,13.79
r0043_c0023,10.53
r0043_c0024,6.0
r0043_c0025,7.54
r0043_c0026,21.24
r0043_c0027,13.89
r0043_c0028,10.93
r0043_c0029,6.36
r0043_c0030,14.98
r0043_c0031,7.42
r0043_c0032,9.58
r0043_c0033,17.79
r0043_c0034,0.0
r0043_c0035,0.0
r0043_c0036,0.0
r0043_c0037,6.0
r0043_c0038,0.0
r0043_c0039,0.0
r0043_c0040,0.0
r0043_c0041,2.13
r0043_c0042,0.0
r0044_c0021,3.46
r0044_c0022,0.0
r0044_c0023,12.15
r0044_c0024,17.41
r0044_c0025,16.56
r0044_c0026,18.5
r0044_c0027,7.29
r0044_c0028,14.56
r0044_c0029,20.02
r0044_c0030,10.32
r0044_c0031,4.65
r0044_c0032,25.97
r0044_c0033,22.76
r0044_c0034,18.19
r0044_c0035,0.0
r0044_c0036,0.0
r0044_c0037,9.45
r0044_c0038,4.23
r0044_c0039,0.0
r0044_c0040,0.0
r0044_c0041,0.0
r0044_c0042,12.4
r0045_c0022,15.87
r0045_c0023,13.81
r0045_c0024,10.87
r0045_c0025,3.89
r0045_c0026,14.11
r0045_c0028,15.99
r0045_c0029,22.97
r0045_c0030,7.36
r0045_c0031,14.02
r0045_c0032,15.65
r0045_c0033,13.02
r0045_c0034,3.03
r0045_c0035,0.0
r0045_c0036,0.0
r0045_c0037,0.0
r0045_c0038,4.74
r0045_c0039,1.98
r0045_c0040,0.0
r0045_c0041,0.0
r0045_c0042,10.82
r0045_c0043,0.0
r0046_c0022,0.0
r0046_c0023,7.26
r0046_c0024,13.79
r0046_c0025,7.41
r0046_c0026,16.53
r0046_c0028,13.44
r0046_c0029,14.37
r0046_c0030,0.0
r0046_c0031,11.23
r0046_c0032,0.0
r0046_c0033,26.85
r0046_c0034,10.61
r0046_c0035,0.0
r0046_c0036,0.0
r0046_c0037,0.0
r0046_c0038,0.0
r0046_c0039,8.68
r0046_c0040,8.53
r0046_c0041,10.83
r0046_c0042,0.0
r0046_c0043,7.79
r0047_c0022,12.17
r0047_c0023,5.45
r0047_c0024,11.13
r0047_c0027,0.0
r0047_c0028,6.73
r0047_c0029,0.0
r0047_c0031,9.58
r0047_c0032,35.13
r0047_c0033,2.67
r0047_c0034,4.38
r0047_c0035,14.18
r0047_c0036,0.0
r0047_c0037,0.3
r0047_c0038,0.0
r0047_c0039,1.12
r0047_c0040,10.39
r0047_c0041,0.0
r0047_c0042,0.0
r0047_c0043,9.78
r0048_c0023,8.14
r0048_c0024,0.0
r0048_c0025,0.0
r0048_c0026,0.0
r0048_c0027,17.65
r0048_c0028,21.19
r0048_c0029,27.75
r0048_c0030,4.09
r0048_c0031,10.06
r0048_c0032,7.98
r0048_c0033,0.0
r0048_c0034,7.05
r0048_c0035,0.0
r0048_c0036,8.82
r0048_c0037,11.3
r0048_c0038,0.0
r0048_c0039,0.0
r0048_c0040,0.0
r0048_c0041,10.33
r0048_c0042,0.0
r0048_c0043,0.0
r0049_c0024,0.0
r0049_c0027,2.41
r0049_c0028,4.49
r0049_c0029,52.28
r0049_c0030,8.99
r0049_c0031,3.53
r0049_c0032,0.0
r0049_c0033,9.73
r0049_c0034,2.71
r0049_c0035,14.29
r0049_c0036,13.48
r0049_c0037,7.95
r0049_c0038,1.97
r0049_c0039,0.0
r0049_c0040,0.0
r0049_c0041,1.44
r0049_c0042,10.58
r0049_c0043,0.0
r0049_c0044,1.93
r0049_c0045,5.98
r0049_c0046,8.02
r0050_c0025,4.61
r0050_c0026,13.57
r0050_c0027,9.94
r0050_c0028,10.54
r0050_c0029,0.0
r0050_c0030,0.0
r0050_c0031,12.51
r0050_c0032,8.1
r0050_c0033,3.8
r0050_c0034,22.55
r0050_c0036,0.0
r0050_c0037,14.36
r0050_c0038,0.0
r0050_c0039,0.0
r0050_c0041,0.0
r0050_c0042,0.0
r0050_c0043,0.0
r0050_c0044,0.0
r0050_c0045,0.0
r0050_c0046,8.96
r0051_c0025,2.49
r0051_c0026,0.0
r0051_c0027,0.0
r0051_c0028,0.0
r0051_c0029,14.45
r0051_c0030,0.0
r0051_c0031,2.29
r0051_c0032,9.07
r0051_c0033,3.26
r0051_c0034,8.25
r0051_c0035,0.0
r0051_c0036,7.22
r0051_c0037,0.0
r0051_c0038,3.56
r0051_c0039,11.83
r0051_c0040,0.0
r0051_c0041,0.0
r0051_c0042,0.0
r0051_c0043,0.0
r0051_c0044,0.0
r0051_c0045,0.0
r0051_c0046,0.0
r0051_c0047,8.41
r0051_c0048,0.0
r0051_c0051,9.46
r0052_c0026,0.0
r0052_c0027,0.0
r0052_c0028,17.97
r0052_c0029,5.07
r0052_c0030,0.0
r0052_c0031,18.32
r0052_c0032,0.0
r0052_c0033,7.49
r0052_c0034,3.59
r0052_c0035,3.58
r0052_c0036,5.73
r0052_c0037,4.54
r0052_c0038,14.08
r0052_c0039,0.0
r0052_c0040,0.0
r0052_c0041,0.0
r0052_c0042,0.0
r0052_c0043,0.0
r0052_c0044,0.0
r0052_c0045,0.0
r0052_c0046,0.0
r0052_c0047,6.74
r0052_c0048,9.18
r0053_c0026,0.0
r0053_c0027,0.0
r0053_c0028,0.0
r0053_c0029,1.77
r0053_c0030,0.0
r0053_c0031,0.0
r0053_c0032,23.36
r0053_c0033,0.0
r0053_c0034,8.27
r0053_c0035,9.94
r0053_c0036,5.02
r0053_c0037,14.1
r0053_c0038,0.0
r0053_c0039,0.0
r0053_c0040,0.0
r0053_c0042,0.0
r0053_c0043,0.0
r0053_c0044,0.0
r0053_c0045,0.0
r0053_c0046,0.0
r0053_c0047,0.0
r0053_c0048,15.03
r0053_c0049,6.78
r0053_c0053,0.0
r0054_c0024,0.0
r0054_c0026,0.0
r0054_c0027,0.0
r0054_c0028,0.0
r0054_c0029,0.0
r0054_c0030,25.66
r0054_c0031,0.0
r0054_c0032,0.0
r0054_c0033,0.0
r0054_c0034,9.55
