cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0028_c0038,40.7247648,-73.9779893,Mixed-Use,35
r0028_c0039,40.7247648,-73.9762049,Residential,28
r0029_c0020,40.7261161,-74.0101084,Mixed-Use,11
r0029_c0021,40.7261161,-74.008324,Commercial,19
r0029_c0022,40.7261161,-74.0065396,Commercial,5
r0029_c0023,40.7261161,-74.0047552,Commercial,19
r0029_c0024,40.7261161,-74.0029708,Mixed-Use,39
r0029_c0025,40.7261161,-74.0011864,Mixed-Use,42
r0029_c0026,40.7261161,-73.9994021,Residential,34
r0029_c0027,40.7261161,-73.9976177,Commercial,9
r0029_c0028,40.7261161,-73.9958333,Commercial,19
r0029_c0029,40.7261161,-73.9940489,Mixed-Use,29
r0029_c0030,40.7261161,-73.9922645,Mixed-Use,49
r0029_c0031,40.7261161,-73.9904801,Mixed-Use,48
r0029_c0032,40.7261161,-73.9886957,Mixed-Use,40
r0029_c0033,40.7261161,-73.9869113,Mixed-Use,42
r0029_c0034,40.7261161,-73.9851269,Mixed-Use,45
r0029_c0035,40.7261161,-73.9833425,Mixed-Use,33
r0029_c0037,40.7261161,-73.9797737,Residential,33
r0029_c0038,40.7261161,-73.9779893,Residential,46
r0029_c0040,40.7261161,-73.9744206,Residential,5
r0030_c0021,40.7274675,-74.008324,Commercial,13
r0030_c0022,40.7274675,-74.0065396,Commercial,9
r0030_c0023,40.7274675,-74.0047552,Residential,37
r0030_c0024,40.7274675,-74.0029708,Residential,47
r0030_c0025,40.7274675,-74.0011864,Mixed-Use,42
r0030_c0026,40.7274675,-73.9994021,Residential,25
r0030_c0028,40.7274675,-73.9958333,Mixed-Use,9
r0030_c0029,40.7274675,-73.9940489,Mixed-Use,28
r0030_c0030,40.7274675,-73.9922645,Mixed-Use,28
r0030_c0031,40.7274675,-73.9904801,Residential,45
r0030_c0032,40.7274675,-73.9886957,Mixed-Use,44
r0030_c0033,40.7274675,-73.9869113,Residential,73
r0030_c0034,40.7274675,-73.9851269,Mixed-Use,60
r0030_c0035,40.7274675,-73.9833425,Mixed-Use,60
r0030_c0036,40.7274675,-73.9815581,Residential,30
r0030_c0037,40.7274675,-73.9797737,Residential,53
r0030_c0038,40.7274675,-73.9779893,Residential,28
r0030_c0039,40.7274675,-73.9762049,Residential,5
r0031_c0020,40.7288188,-74.0101084,Commercial,3
r0031_c0021,40.7288188,-74.008324,Commercial,4
r0031_c0022,40.7288188,-74.0065396,Commercial,4
r0031_c0023,40.7288188,-74.0047552,Mixed-Use,35
r0031_c0024,40.7288188,-74.0029708,Residential,31
r0031_c0025,40.7288188,-74.0011864,Mixed-Use,56
r0031_c0026,40.7288188,-73.9994021,Mixed-Use,37
r0031_c0027,40.7288188,-73.9976177,Institutional,9
r0031_c0028,40.7288188,-73.9958333,Institutional,10
r0031_c0029,40.7288188,-73.9940489,Mixed-Use,15
r0031_c0030,40.7288188,-73.9922645,Commercial,18
r0031_c0031,40.7288188,-73.9904801,Institutional,12
r0031_c0032,40.7288188,-73.9886957,Mixed-Use,57
r0031_c0033,40.7288188,-73.9869113,Mixed-Use,54
r0031_c0034,40.7288188,-73.9851269,Mixed-Use,59
r0031_c0035,40.7288188,-73.9833425,Mixed-Use,51
r0031_c0036,40.7288188,-73.9815581,Mixed-Use,38
r0031_c0037,40.7288188,-73.9797737,Residential,57
r0031_c0038,40.7288188,-73.9779893,Mixed-Use,25
r0031_c0039,40.7288188,-73.9762049,Residential,5
r0032_c0020,40.7301702,-74.0101084,Mixed-Use,4
r0032_c0021,40.7301702,-74.008324,Residential,17
r0032_c0022,40.7301702,-74.0065396,Mixed-Use,31
r0032_c0023,40.7301702,-74.0047552,Residential,55
r0032_c0024,40.7301702,-74.0029708,Mixed-Use,51
r0032_c0025,40.7301702,-74.0011864,Mixed-Use,51
r0032_c0026,40.7301702,-73.9994021,Institutional,30
r0032_c0027,40.7301702,-73.9976177,Institutional,3
r0032_c0028,40.7301702,-73.9958333,Institutional,10
r0032_c0029,40.7301702,-73.9940489,Institutional,12
r0032_c0030,40.7301702,-73.9922645,Commercial,7
r0032_c0031,40.7301702,-73.9904801,Commercial,13
r0032_c0032,40.7301702,-73.9886957,Residential,45
r0032_c0033,40.7301702,-73.9869113,Residential,27
r0032_c0034,40.7301702,-73.9851269,Mixed-Use,35
r0032_c0035,40.7301702,-73.9833425,Mixed-Use,41
r0032_c0036,40.7301702,-73.9815581,Mixed-Use,38
r0032_c0037,40.7301702,-73.9797737,Mixed-Use,11
r0033_c0020,40.7315215,-74.0101084,Residential,3
r0033_c0021,40.7315215,-74.008324,Mixed-Use,8
r0033_c0022,40.7315215,-74.0065396,Mixed-Use,37
r0033_c0023,40.7315215,-74.0047552,Residential,79
r0033_c0024,40.7315215,-74.0029708,Mixed-Use,74
r0033_c0025,40.7315215,-74.0011864,Mixed-Use,48
r0033_c0026,40.7315215,-73.9994021,Residential,25
r0033_c0027,40.7315215,-73.9976177,Open Space,7
r0033_c0028,40.7315215,-73.9958333,Institutional,18
r0033_c0029,40.7315215,-73.9940489,Mixed-Use,8
r0033_c0030,40.7315215,-73.9922645,Mixed-Use,8
r0033_c0031,40.7315215,-73.9904801,Residential,10
r0033_c0032,40.7315215,-73.9886957,Mixed-Use,19
r0033_c0033,40.7315215,-73.9869113,Residential,47
r0033_c0034,40.7315215,-73.9851269,Mixed-Use,29
r0033_c0035,40.7315215,-73.9833425,Mixed-Use,40
r0034_c0020,40.7328729,-74.0101084,Residential,20
r0034_c0021,40.7328729,-74.008324,Mixed-Use,17
r0034_c0022,40.7328729,-74.0065396,Institutional,45
r0034_c0023,40.7328729,-74.0047552,Residential,66
r0034_c0024,40.7328729,-74.0029708,Mixed-Use,43
r0034_c0025,40.7328729,-74.0011864,Residential,62
r0034_c0026,40.7328729,-73.9994021,Mixed-Use,45
r0034_c0027,40.7328729,-73.9976177,Mixed-Use,53
r0034_c0028,40.7328729,-73.9958333,Residential,23
r0034_c0029,40.7328729,-73.9940489,Residential,38
r0034_c0030,40.7328729,-73.9922645,Mixed-Use,32
r0034_c0031,40.7328729,-73.9904801,Mixed-Use,19
r0034_c0032,40.7328729,-73.9886957,Mixed-Use,31
r0034_c0033,40.7328729,-73.9869113,Mixed-Use,30
r0034_c0034,40.7328729,-73.9851269,Mixed-Use,25
r0034_c0035,40.7328729,-73.9833425,Institutional,16
r0034_c0036,40.7328729,-73.9815581,Institutional,11
r0035_c0020,40.7342242,-74.0101084,Residential,10
r0035_c0021,40.7342242,-74.008324,Residential,29
r0035_c0022,40.7342242,-74.0065396,Residential,37
r0035_c0023,40.7342242,-74.0047552,Residential,51
r0035_c0024,40.7342242,-74.0029708,Residential,50
r0035_c0025,40.7342242,-74.0011864,Residential,53
r0035_c0026,40.7342242,-73.9994021,Mixed-Use,32
r0035_c0027,40.7342242,-73.9976177,Residential,67
r0035_c0028,40.7342242,-73.9958333,Residential,43
r0035_c0029,40.7342242,-73.9940489,Residential,36
r0035_c0030,40.7342242,-73.9922645,Residential,27
r0035_c0031,40.7342242,-73.9904801,Commercial,7
r0035_c0032,40.7342242,-73.9886957,Mixed-Use,6
r0035_c0033,40.7342242,-73.9869113,Mixed-Use,20
r0035_c0034,40.7342242,-73.9851269,Mixed-Use,25
r0035_c0035,40.7342242,-73.9833425,Institutional,18
r0035_c0036,40.7342242,-73.9815581,Residential,65
r0035_c0037,40.7342242,-73.9797737,Mixed-Use,5
r0036_c0020,40.7355756,-74.0101084,Residential,8
r0036_c0021,40.7355756,-74.008324,Residential,35
r0036_c0022,40.7355756,-74.0065396,Residential,50
r0036_c0023,40.7355756,-74.0047552,Residential,79
r0036_c0024,40.7355756,-74.0029708,Residential,80
r0036_c0025,40.7355756,-74.0011864,Mixed-Use,54
r0036_c0026,40.7355756,-73.9994021,Residential,61
r0036_c0027,40.7355756,-73.9976177,Residential,34
r0036_c0028,40.7355756,-73.9958333,Residential,38
r0036_c0029,40.7355756,-73.9940489,Mixed-Use,17
r0036_c0030,40.7355756,-73.9922645,Mixed-Use,20
r0036_c0032,40.7355756,-73.9886957,Commercial,24
r0036_c0033,40.7355756,-73.9869113,Mixed-Use,22
r0036_c0034,40.7355756,-73.9851269,Residential,35
r0036_c0035,40.7355756,-73.9833425,Residential,30
r0036_c0036,40.7355756,-73.9815581,Institutional,20
r0036_c0037,40.7355756,-73.9797737,Mixed-Use,23
r0037_c0021,40.7369269,-74.008324,Mixed-Use,30
r0037_c0022,40.7369269,-74.0065396,Residential,40
r0037_c0023,40.7369269,-74.0047552,Residential,47
r0037_c0024,40.7369269,-74.0029708,Residential,86
r0037_c0025,40.7369269,-74.0011864,Mixed-Use,25
r0037_c0026,40.7369269,-73.9994021,Mixed-Use,37
r0037_c0027,40.7369269,-73.9976177,Mixed-Use,27
r0037_c0028,40.7369269,-73.9958333,Mixed-Use,23
r0037_c0029,40.7369269,-73.9940489,Residential,16
r0037_c0030,40.7369269,-73.9922645,Commercial,21
r0037_c0031,40.7369269,-73.9904801,Commercial,26
r0037_c0032,40.7369269,-73.9886957,Commercial,11
r0037_c0033,40.7369269,-73.9869113,Residential,50
r0037_c0034,40.7369269,-73.9851269,Residential,40
r0037_c0035,40.7369269,-73.9833425,Residential,25
r0037_c0036,40.7369269,-73.9815581,Mixed-Use,16
r0037_c0037,40.7369269,-73.9797737,Mixed-Use,22
r0037_c0039,40.7369269,-73.9762049,Institutional,3
r0038_c0020,40.7382783,-74.0101084,Residential,5
r0038_c0021,40.7382783,-74.008324,Residential,23
r0038_c0022,40.7382783,-74.0065396,Residential,73
r0038_c0023,40.7382783,-74.0047552,Residential,57
r0038_c0024,40.7382783,-74.0029708,Residential,50
