cell_id,nightlife_density
r0046_c0032,0.0
r0046_c0033,44.44
r0046_c0034,0.0
r0046_c0035,133.33
r0046_c0036,0.0
r0046_c0037,0.0
r0046_c0038,44.44
r0046_c0039,88.89
r0046_c0040,0.0
r0046_c0041,0.0
r0046_c0042,0.0
r0046_c0043,0.0
r0047_c0022,44.44
r0047_c0023,88.89
r0047_c0024,133.33
r0047_c0027,88.89
r0047_c0028,44.44
r0047_c0029,44.44
r0047_c0031,177.78
r0047_c0032,0.0
r0047_c0033,44.44
r0047_c0034,44.44
r0047_c0035,0.0
r0047_c0036,0.0
r0047_c0037,133.33
r0047_c0038,44.44
r0047_c0039,88.89
r0047_c0040,0.0
r0047_c0041,0.0
r0047_c0042,0.0
r0047_c0043,0.0
r0048_c0023,44.44
r0048_c0024,0.0
r0048_c0025,44.44
r0048_c0026,0.0
r0048_c0027,0.0
r0048_c0028,44.44
r0048_c0029,88.89
r0048_c0030,88.89
r0048_c0031,88.89
r0048_c0032,44.44
r0048_c0033,0.0
r0048_c0034,177.78
r0048_c0035,88.89
r0048_c0036,0.0
r0048_c0037,0.0
r0048_c0038,0.0
r0048_c0039,0.0
r0048_c0040,44.44
r0048_c0041,44.44
r0048_c0042,0.0
r0048_c0043,0.0
r0049_c0024,133.33
r0049_c0027,177.78
r0049_c0028,0.0
r0049_c0029,177.78
r0049_c0030,88.89
r0049_c0031,44.44
r0049_c0032,44.44
r0049_c0033,44.44
r0049_c0034,44.44
r0049_c0035,0.0
r0049_c0036,0.0
r0049_c0037,0.0
r0049_c0038,88.89
r0049_c0039,0.0
r0049_c0040,88.89
r0049_c0041,88.89
r0049_c0042,0.0
r0049_c0043,0.0
r0049_c0044,44.44
r0049_c0045,44.44
r0049_c0046,0.0
r0050_c0025,88.89
r0050_c0026,0.0
r0050_c0027,0.0
r0050_c0028,44.44
r0050_c0029,44.44
r0050_c0030,133.33
r0050_c0031,177.78
r0050_c0032,44.44
r0050_c0033,44.44
r0050_c0034,0.0
r0050_c0036,0.0
r0050_c0037,0.0
r0050_c0038,44.44
r0050_c0039,0.0
r0050_c0041,88.89
r0050_c0042,0.0
r0050_c0043,44.44
r0050_c0044,0.0
r0050_c0045,44.44
r0050_c0046,0.0
r0051_c0025,44.44
r0051_c0026,0.0
r0051_c0027,0.0
r0051_c0028,0.0
r0051_c0029,88.89
r0051_c0030,133.33
r0051_c0031,88.89
r0051_c0032,133.33
r0051_c0033,44.44
r0051_c0034,177.78
r0051_c0035,0.0
r0051_c0036,133.33
r0051_c0037,133.33
r0051_c0038,44.44
r0051_c0039,0.0
r0051_c0040,44.44
r0051_c0041,0.0
r0051_c0042,0.0
r0051_c0043,0.0
r0051_c0044,88.89
r0051_c0045,44.44
r0051_c0046,44.44
r0051_c0047,0.0
r0051_c0048,0.0
r0051_c0051,0.0
r0052_c0026,0.0
r0052_c0027,0.0
r0052_c0028,0.0
r0052_c0029,88.89
r0052_c0030,88.89
r0052_c0031,0.0
r0052_c0032,311.11
r0052_c0033,133.33
r0052_c0034,133.33
r0052_c0035,222.22
r0052_c0036,0.0
r0052_c0037,0.0
r0052_c0038,44.44
r0052_c0039,0.0
r0052_c0040,0.0
r0052_c0041,0.0
r0052_c0042,0.0
r0052_c0043,44.44
r0052_c0044,88.89
r0052_c0045,0.0
r0052_c0046,0.0
r0052_c0047,0.0
r0052_c0048,0.0
r0053_c0026,0.0
r0053_c0027,0.0
r0053_c0028,0.0
r0053_c0029,177.78
r0053_c0030,88.89
r0053_c0031,44.44
r0053_c0032,222.22
r0053_c0033,444.44
r0053_c0034,133.33
r0053_c0035,177.78
r0053_c0036,44.44
r0053_c0037,88.89
r0053_c0038,0.0
r0053_c0039,0.0
r0053_c0040,0.0
r0053_c0042,0.0
r0053_c0043,0.0
r0053_c0044,44.44
r0053_c0045,0.0
r0053_c0046,0.0
r0053_c0047,0.0
r0053_c0048,0.0
r0053_c0049,0.0
r0053_c0053,0.0
r0054_c0024,0.0
r0054_c0026,0.0
r0054_c0027,0.0
r0054_c0028,88.89
r0054_c0029,0.0
r0054_c0030,222.22
r0054_c0031,88.89
r0054_c0032,88.89
r0054_c0033,311.11
r0054_c0034,44.44
r0054_c0035,133.33
r0054_c0036,0.0
r0054_c0038,44.44
r0054_c0039,0.0
r0054_c0040,0.0
r0054_c0041,0.0
r0054_c0042,0.0
r0054_c0043,44.44
r0054_c0044,44.44
r0054_c0045,44.44
r0054_c0046,0.0
r0054_c0047,0.0
r0054_c0048,0.0
r0054_c0049,0.0
r0054_c0053,0.0
r0055_c0026,0.0
r0055_c0027,44.44
r0055_c0028,0.0
r0055_c0029,88.89
r0055_c0030,0.0
r0055_c0031,177.78
