cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0075_c0059,40.7882783,-73.9405171,Mixed-Use,7,755.56,0.0,4.9,1938,228927.0,16.0,2.2943,133.33,0.0,0.0,222.22,177.78,0.0
r0076_c0037,40.7896296,-73.9797737,Residential,22,88.89,0.0,10.0,1908,1017000.0,15.0,0.81,0.0,0.0,26.48,0.0,0.0,0.0
r0076_c0038,40.7896296,-73.9779893,Residential,35,133.33,0.0,7.3,1904,1312018.0,39.0,1.2453,0.0,0.0,0.0,0.0,44.44,0.0
r0076_c0039,40.7896296,-73.9762049,Mixed-Use,18,1244.44,0.0714,8.0,1914,902985.0,19.0,1.8668,444.44,0.0,19.11,133.33,44.44,0.0
r0076_c0040,40.7896296,-73.9744206,Mixed-Use,17,1244.44,0.25,8.6,1922,990708.0,17.0,0.5085,400.0,0.0,0.0,44.44,44.44,44.44
r0076_c0041,40.7896296,-73.9726362,Mixed-Use,14,888.89,0.15,8.6,1929,913246.0,17.0,2.0865,88.89,0.0,0.0,0.0,44.44,0.0
r0076_c0042,40.7896296,-73.9708518,Residential,6,800.0,0.0,11.5,1970,830173.0,11.0,1.2472,44.44,0.0,0.0,0.0,44.44,0.0
r0076_c0043,40.7896296,-73.9690674,Institutional,18,577.78,0.0769,6.8,1908,540878.0,17.0,1.995,44.44,0.0,14.21,44.44,0.0,0.0
r0076_c0044,40.7896296,-73.967283,Residential,14,400.0,0.1111,6.2,1930,971361.0,16.0,1.254,0.0,0.0,7.11,44.44,88.89,0.0
r0076_c0054,40.7896296,-73.9494391,Residential,54,266.67,0.3333,3.9,1904,231235.0,39.0,2.1585,44.44,0.0,6.06,0.0,88.89,0.0
r0076_c0055,40.7896296,-73.9476547,Residential,33,1333.33,0.3333,4.6,1919,460407.0,40.0,2.0002,488.89,0.0,13.16,266.67,44.44,0.0
r0076_c0056,40.7896296,-73.9458703,Residential,17,755.56,0.3529,3.7,1917,241006.0,26.0,2.1635,311.11,0.0,13.41,44.44,133.33,0.0
r0076_c0057,40.7896296,-73.9440859,Mixed-Use,14,533.33,0.0833,6.4,1946,816690.0,12.0,1.4663,266.67,0.0,25.73,0.0,44.44,0.0
r0076_c0058,40.7896296,-73.9423015,Mixed-Use,46,711.11,0.375,4.5,1922,449509.0,43.0,2.0408,177.78,0.0,39.56,88.89,44.44,0.0
r0076_c0059,40.7896296,-73.9405171,Residential,17,666.67,0.0667,5.2,1917,336728.0,25.0,2.2043,177.78,0.0,16.31,266.67,133.33,0.0
r0077_c0037,40.790981,-73.9797737,Residential,7,0.0,0.0,16.0,1928,236300.0,1.0,-0.0,0.0,0.0,14.49,44.44,0.0,0.0
r0077_c0038,40.790981,-73.9779893,Residential,65,88.89,0.0,5.0,1896,754374.0,62.0,1.9338,0.0,0.0,11.11,0.0,0.0,0.0
r0077_c0039,40.790981,-73.9762049,Residential,37,44.44,0.0,6.5,1901,936894.0,37.0,1.9556,0.0,0.0,1.35,0.0,88.89,0.0
r0077_c0040,40.790981,-73.9744206,Residential,19,1555.56,0.2857,5.8,1906,1076158.0,28.0,1.6662,577.78,0.0,13.79,44.44,0.0,0.0
r0077_c0041,40.790981,-73.9726362,Mixed-Use,26,1111.11,0.32,7.7,1918,1238269.0,21.0,1.3856,311.11,0.0,0.0,44.44,44.44,0.0
r0077_c0042,40.790981,-73.9708518,Institutional,29,355.56,0.0,3.7,1911,482810.0,30.0,1.1261,0.0,0.0,0.0,0.0,0.0,0.0
r0077_c0043,40.790981,-73.9690674,Mixed-Use,4,800.0,0.2222,10.8,1931,1026968.0,22.0,1.5183,444.44,0.0,5.35,44.44,88.89,0.0
r0077_c0044,40.790981,-73.967283,Residential,41,0.0,0.0,5.6,1901,977231.0,28.0,1.6594,0.0,0.0,18.32,0.0,0.0,0.0
r0077_c0045,40.790981,-73.9654986,Residential,32,2622.22,0.0,4.6,1896,940599.0,56.0,1.9322,0.0,0.0,8.74,177.78,133.33,0.0
r0077_c0052,40.790981,-73.9530078,Mixed-Use,4,2711.11,0.0,15.0,1939,266556.0,3.0,0.912,44.44,0.0,14.2,88.89,0.0,0.0
r0077_c0053,40.790981,-73.9512235,Institutional,7,444.44,0.1,16.0,1969,954404.0,4.0,1.7137,0.0,0.0,18.99,177.78,88.89,0.0
r0077_c0054,40.790981,-73.9494391,Residential,14,1111.11,0.0,6.4,1942,395910.0,9.0,0.5249,88.89,0.0,0.68,0.0,88.89,0.0
r0077_c0055,40.790981,-73.9476547,Mixed-Use,30,1066.67,0.2917,5.7,1927,537491.0,25.0,2.6458,488.89,44.44,7.74,133.33,133.33,44.44
r0077_c0056,40.790981,-73.9458703,Mixed-Use,56,1022.22,0.4348,3.9,1913,359105.0,51.0,2.3342,444.44,0.0,0.0,44.44,0.0,0.0
r0077_c0057,40.790981,-73.9440859,Mixed-Use,26,400.0,0.2222,3.4,1928,312770.0,30.0,1.9837,177.78,0.0,0.0,177.78,44.44,0.0
r0077_c0058,40.790981,-73.9423015,Mixed-Use,6,1066.67,0.0833,4.5,1937,135055.0,13.0,1.9974,311.11,0.0,20.07,355.56,44.44,0.0
r0077_c0059,40.790981,-73.9405171,Residential,5,266.67,0.0,13.0,1950,1014596.0,9.0,0.1254,44.44,0.0,15.32,0.0,0.0,0.0
r0077_c0060,40.790981,-73.9387327,Commercial,6,577.78,0.1538,4.6,1936,133983.0,10.0,2.0363,133.33,0.0,23.69,0.0,133.33,0.0
r0078_c0038,40.7923323,-73.9779893,Residential,3,177.78,0.0,15.0,1926,380920.0,2.0,-0.0,0.0,0.0,15.07,0.0,0.0,0.0
