location,osm_id,lat,lon,distance_m,label,highway_type,lanes,lot_area_sqft,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,com_ratio,res_ratio,median_income
harlem,5235602684,40.8162289,-73.9465284,514.7,food_drink,secondary,4.0,8050.0,17.8,324.5,130.3,227.7,0.1957141909374378,0.8042858090625622,
harlem,730049746,40.8104341,-73.9524588,518.0,retail,primary,5.0,8983.0,20.9,121.1,97.7,120.8,1.0,0.0,
harlem,6957750692,40.8073215,-73.9439667,521.3,retail,primary,4.0,11990.0,79.5,105.9,64.7,111.8,0.0625154346084578,0.937484565391542,
harlem,13136631202,40.8070888,-73.9445455,527.9,food_drink,primary,4.0,12615.0,47.9,69.5,77.1,58.8,0.1532832141787549,0.8467167858212451,
harlem,5235604703,40.8163761,-73.9469041,532.2,finance,secondary,4.0,49975.0,11.6,355.5,99.2,196.6,0.2652794774125717,0.7347205225874283,
harlem,11580920969,40.8089408,-73.9518174,536.4,food_drink,residential,,2592.0,14.2,49.7,77.0,81.8,0.0849978750531236,0.9150021249468764,
harlem,5972702850,40.8072317,-73.9437819,536.9,health,primary,4.0,11990.0,96.6,123.0,82.4,124.7,0.0625154346084578,0.937484565391542,
harlem,9144041599,40.810303,-73.9526624,538.3,food_drink,secondary,2.0,8983.0,12.3,114.2,90.9,99.1,1.0,0.0,
harlem,2767383760,40.8089007,-73.951878,543.1,retail,residential,,2592.0,18.9,56.2,79.6,76.4,0.0849978750531236,0.9150021249468764,
harlem,5266905501,40.8073593,-73.9498334,548.7,food_drink,primary,3.0,4866.0,55.3,259.7,166.1,69.2,0.0737581046165846,0.9262418953834154,
harlem,4747992621,40.8106899,-73.9529247,550.1,finance,primary,4.0,11908.0,21.0,73.7,139.2,130.3,1.0,0.0,
harlem,11980017816,40.8101282,-73.9527803,553.3,finance,residential,,8983.0,23.9,119.9,80.9,77.4,1.0,0.0,
harlem,2767720032,40.8165807,-73.9462687,554.2,food_drink,tertiary,2.0,4000.0,14.8,348.6,107.2,198.8,0.0,1.0,
harlem,11980017820,40.8098632,-73.9528228,566.1,personal_care,residential,,16326.0,49.9,126.0,65.4,52.9,0.0182631723130307,0.9817368276869692,
harlem,2767720019,40.8167188,-73.9466099,569.3,food_drink,tertiary,2.0,1992.0,17.8,375.2,78.0,173.7,1.0,0.0,
harlem,3545220723,40.8161957,-73.9434788,570.8,office_professional,residential,,3242.0,74.7,286.4,201.7,181.1,0.0696621386276558,0.930337861372344,
harlem,2767369948,40.8064597,-73.9461118,572.5,food_drink,residential,,1756.0,53.2,134.2,187.3,97.4,0.3052917232021709,0.694708276797829,
harlem,6511811723,40.8167511,-73.9466927,573.0,food_drink,tertiary,2.0,1992.0,11.5,381.7,71.5,168.1,1.0,0.0,
