cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,shop_type_entropy,brand_ratio
r0022_c0017,40.7166567,-74.0154616,Residential,5,30355.56,0.019,26.6,2003.0,1793495.0,5,0.9094,400.0,44.44,-0.0,0.0
r0022_c0018,40.7166567,-74.0136772,Institutional,3,6711.11,0.0,24.0,2001.0,582804.0,3,1.3766,133.33,0.0,0.0,0.0
r0022_c0019,40.7166567,-74.0118928,Institutional,4,5066.67,0.0,16.0,1996.0,470078.0,3,1.0862,44.44,177.78,2.0,0.75
r0022_c0020,40.7166567,-74.0101084,Mixed-Use,38,2977.78,0.1343,6.0,1911.0,828625.0,38,1.0996,0.0,311.11,2.5216,0.0
r0022_c0021,40.7166567,-74.008324,Mixed-Use,35,1333.33,0.3333,5.1,1877.0,665434.0,38,1.5878,0.0,177.78,2.0,0.0
r0022_c0022,40.7166567,-74.0065396,Commercial,11,977.78,0.0455,7.3,1929.0,1131463.0,11,1.6882,88.89,88.89,1.0,0.0
r0022_c0023,40.7166567,-74.0047552,Mixed-Use,12,755.56,0.2941,10.1,1934.0,1078450.0,11,1.3795,0.0,133.33,1.585,0.3333
r0022_c0024,40.7166567,-74.0029708,Mixed-Use,12,844.44,0.0526,12.3,1932.0,1752619.0,10,1.7345,88.89,44.44,-0.0,0.0
r0022_c0025,40.7166567,-74.0011864,Institutional,5,5111.11,0.0087,9.6,1924.0,1829140.0,5,0.771,133.33,88.89,1.0,0.0
r0022_c0026,40.7166567,-73.9994021,Mixed-Use,38,2711.11,0.3279,5.3,1919.0,559807.0,45,1.4614,88.89,755.56,3.4548,0.0
r0022_c0027,40.7166567,-73.9976177,Commercial,47,3911.11,0.2159,5.3,1918.0,819901.0,53,1.1205,222.22,1733.33,2.5134,0.0
r0022_c0028,40.7166567,-73.9958333,Commercial,32,3644.44,0.1098,5.9,1925.0,645996.0,35,1.3785,311.11,800.0,2.8855,0.0
r0022_c0029,40.7166567,-73.9940489,Open Space,16,3555.56,0.15,4.5,1923.0,345165.0,16,1.4917,0.0,444.44,2.9219,0.0
r0022_c0030,40.7166567,-73.9922645,Mixed-Use,34,977.78,0.2727,5.4,1917.0,468721.0,37,2.0302,0.0,400.0,2.7255,0.0
r0022_c0031,40.7166567,-73.9904801,Mixed-Use,57,800.0,0.2222,5.6,1917.0,698461.0,59,1.8176,44.44,311.11,2.8074,0.0
r0022_c0032,40.7166567,-73.9886957,Residential,9,844.44,0.3158,9.1,1950.0,755947.0,11,1.3761,0.0,0.0,0.0,0.0
